# 转录元数据（whisper.cpp 原始输出，未修标点未纠错）
# 节目：硅谷101 · E247
# 标题：对话盛颖：xAI，Infra的浪漫，SGLang，开源，平权与"甄嬛传"
# 主持：陈茜（开场：泓君）｜ 嘉宾：盛颖（RadixArk 联创&CEO、SGLang 发起人、xAI 前推理团队负责人）
# 来源：Fireside RSS 音频直链（https://www.sv101.net/260）
# 发布日期：2026-08-04 ｜ 时长：1h46m26s（6387s）｜ 段数：5578
# pipeline：yt-dlp → whisper.cpp / ggml-large-v3 / Metal / -l zh / **--vad（silero）**
# 备注：首跑无 VAD 时 whisper 在音乐/过场段陷入循环幻觉（约 00:39 起整段报废），VAD 重跑后全量正常——长音频转写教训已记录
[00:01:39 -> 00:01:42] 我看你们是刚刚搬了这个新的办公室是吗
[00:01:42 -> 00:01:43] 对
[00:01:43 -> 00:01:44] 9月1号刚搬过来
[00:01:44 -> 00:01:46] 你们现在大概多少人啊
[00:01:46 -> 00:01:47] 现在有40多人
[00:01:47 -> 00:01:49] 扩张会非常的迅速吗
[00:01:49 -> 00:01:50] 其实比我预期的快
[00:01:50 -> 00:01:55] 因为我们事实上我们扩张scope增长的也比想象的快
[00:01:55 -> 00:01:57] 然后各个地方都需要人
[00:01:57 -> 00:02:03] 我们能招进来的人也比我想象的要有更多qualified的candidates
[00:02:03 -> 00:02:04] 所以我们也稍微有一点stress
[00:02:04 -> 00:02:05] 但是我们已经在控制
[00:02:05 -> 00:02:06] 今天呢会进行一个新的办公室
[00:02:06 -> 00:02:08] 讲一讲你整个的学生时代
[00:02:08 -> 00:02:10] 到你之后的这个研究时代
[00:02:10 -> 00:02:12] 再到就是你出来在X
[00:02:12 -> 00:02:13] 还有你自己新的startup
[00:02:13 -> 00:02:15] 然后我们可以按照这个顺序来讲
[00:02:15 -> 00:02:16] 那首先呢
[00:02:16 -> 00:02:19] 你其实是大学在上海交大
[00:02:19 -> 00:02:20] 然后这个上了ACM的荣誉班
[00:02:20 -> 00:02:23] 17年就来到了美国哥伦比亚大学
[00:02:23 -> 00:02:24] 读硕士学位了
[00:02:24 -> 00:02:27] 当时出国是因为大家都要出国吗
[00:02:27 -> 00:02:29] 就是为什么选这条路呢
[00:02:29 -> 00:02:31] 确实也是因为大家当时很多人是要出国
[00:02:31 -> 00:02:33] 但是我其实对出国的概念知道的很晚
[00:02:33 -> 00:02:36] 我觉得我从江西到本科的时候
[00:02:36 -> 00:02:37] 是经历了一个
[00:02:37 -> 00:02:39] 很强的cultural shock的一种概念
[00:02:39 -> 00:02:40] 但是我觉得我身边的人
[00:02:40 -> 00:02:42] 更理解职业发展人生发展
[00:02:42 -> 00:02:43] 他们有更多的规划
[00:02:43 -> 00:02:45] 其实我是处在一个无知状态
[00:02:45 -> 00:02:46] 我觉得我本科刚毕业的时候
[00:02:46 -> 00:02:48] 一开始其实我甚至没有升到什么
[00:02:48 -> 00:02:50] 就是我申请了美国的大学
[00:02:50 -> 00:02:51] 但我其实没有拿到offer一开始
[00:02:51 -> 00:02:54] 当时有一个港中文大学的PhD的offer
[00:02:54 -> 00:02:56] 然后我接了升职都已经
[00:02:56 -> 00:02:57] 申请的时候我就有个君子协议
[00:02:57 -> 00:02:58] 4月15号
[00:02:58 -> 00:02:59] 君子协议都已经过了
[00:02:59 -> 00:03:00] 到第二天
[00:03:00 -> 00:03:01] 我突然收到了
[00:03:01 -> 00:03:02] 哥大给我发了一个
[00:03:02 -> 00:03:03] 很普通的研究生
[00:03:03 -> 00:03:04] 叫master offer
[00:03:04 -> 00:03:05] 它其实是个很普通的offer
[00:03:05 -> 00:03:06] 就是很多人都能拿到
[00:03:06 -> 00:03:07] 但是我当时就觉得
[00:03:07 -> 00:03:09] 我想接触一些新的东西
[00:03:09 -> 00:03:10] 我想
[00:03:10 -> 00:03:11] 因为那个时候的学术中心
[00:03:11 -> 00:03:12] 还是在美国
[00:03:12 -> 00:03:13] 我觉得我想出去看到
[00:03:13 -> 00:03:15] 哪怕哥大的这个master program
[00:03:15 -> 00:03:16] 它不是一个特别顶尖的program
[00:03:16 -> 00:03:17] 但我想我想看到
[00:03:17 -> 00:03:18] 然后我当时
[00:03:18 -> 00:03:19] 我还跟我爸打电话说
[00:03:19 -> 00:03:22] 这个我们前面PHU
[00:03:22 -> 00:03:22] 可能不能会
[00:03:22 -> 00:03:23] 我还需要交一笔违约金
[00:03:23 -> 00:03:25] 但是我想出去看看
[00:03:25 -> 00:03:26] 我还犹豫了一下
[00:03:26 -> 00:03:27] 然后给我爸打了一通电话
[00:03:27 -> 00:03:29] 但我爸非常快
[00:03:29 -> 00:03:30] 就是一分钟就说好你去
[00:03:30 -> 00:03:32] 就交了违约金
[00:03:32 -> 00:03:35] 那你说你从江西到
[00:03:35 -> 00:03:37] 上海其实是有一段culture shock的
[00:03:37 -> 00:03:38] 那你从上海到美国
[00:03:38 -> 00:03:40] 也是不是经历了culture shock
[00:03:40 -> 00:03:41] 也有吧
[00:03:41 -> 00:03:42] 我觉得我确实是
[00:03:42 -> 00:03:44] 每一段都是那个舒适圈
[00:03:44 -> 00:03:45] 打破在早期的经历里
[00:03:45 -> 00:03:46] 但是我在纽约的感受要
[00:03:46 -> 00:03:48] 纽约是很包容的一个城市
[00:03:48 -> 00:03:50] 这个shock其实不太shock
[00:03:50 -> 00:03:51] 就是我感到不一样
[00:03:51 -> 00:03:52] 但我觉得极大的被包容了
[00:03:52 -> 00:03:53] 具体体现在
[00:03:53 -> 00:03:54] 其实
[00:03:54 -> 00:03:55] 什么方面呢
[00:03:55 -> 00:03:56] 就是我觉得在纽约
[00:03:56 -> 00:03:57] 当时文化让我觉得
[00:03:57 -> 00:03:58] 没有人盯着我看
[00:03:58 -> 00:04:00] 没有人在乎我穿什么
[00:04:00 -> 00:04:01] 想什么做什么
[00:04:01 -> 00:04:02] 我想要什么
[00:04:02 -> 00:04:03] 我在纽约感受到
[00:04:03 -> 00:04:05] 那个shock更多的是一个
[00:04:05 -> 00:04:06] 不需要被榨制
[00:04:06 -> 00:04:07] 也不需要榨制别人的shock
[00:04:07 -> 00:04:09] 这个shock是从一个
[00:04:09 -> 00:04:10] 被限制状态
[00:04:10 -> 00:04:11] 到一个完全自由状态的一个
[00:04:11 -> 00:04:12] 对 它是个shock
[00:04:12 -> 00:04:14] 但它其实是个更放松的过程
[00:04:14 -> 00:04:15] 挺好的
[00:04:15 -> 00:04:16] 那我看你在那个
[00:04:16 -> 00:04:17] 哥大硕士阶段
[00:04:17 -> 00:04:18] 发表的论文
[00:04:18 -> 00:04:19] 还是比较偏理论的嘛
[00:04:19 -> 00:04:20] 主要是测试函数
[00:04:20 -> 00:04:22] 然后现行回归的数学性质
[00:04:22 -> 00:04:24] 后来到了斯坦福图PHD的时候
[00:04:24 -> 00:04:26] 你选择了形式化验证方向
[00:04:26 -> 00:04:27] 那么先跟我们说一下
[00:04:27 -> 00:04:28] 在哥大
[00:04:28 -> 00:04:30] 你从事的这些研究
[00:04:30 -> 00:04:32] 其实对你有
[00:04:32 -> 00:04:33] 就后来的研究
[00:04:33 -> 00:04:34] 有产生任何的影响吗
[00:04:34 -> 00:04:36] 我刚上研究生的时候
[00:04:36 -> 00:04:38] 是没有想要做研究的
[00:04:38 -> 00:04:40] 但是我第一学期的时候
[00:04:40 -> 00:04:41] 上计算复杂性的课
[00:04:41 -> 00:04:42] 当时觉得很有趣
[00:04:42 -> 00:04:44] 然后我又碰巧
[00:04:44 -> 00:04:46] 交了一些当时的朋友
[00:04:46 -> 00:04:48] 就是当时的博士生朋友
[00:04:48 -> 00:04:49] 然后他们都是做理论的
[00:04:49 -> 00:04:50] 然后我就觉得
[00:04:50 -> 00:04:52] 这个领域非常有意思
[00:04:52 -> 00:04:54] 我就找老师和这些同学们说
[00:04:54 -> 00:04:55] 能不能有一些问题可以研究
[00:04:55 -> 00:04:56] 研究了一段时候
[00:04:56 -> 00:04:58] 觉得很有趣
[00:04:58 -> 00:04:59] 然后也有成果
[00:04:59 -> 00:04:59] 所以自然而然的
[00:04:59 -> 00:05:01] 就到了斯坦福图
[00:05:01 -> 00:05:03] 就是你研究生毕业的时候
[00:05:03 -> 00:05:03] 有考
[00:05:03 -> 00:05:05] 有考虑过我要工作
[00:05:05 -> 00:05:07] 还是说我要申请博士吗
[00:05:07 -> 00:05:09] 我一开始是没有想要申请博士
[00:05:09 -> 00:05:09] 或者说我也没有觉得
[00:05:09 -> 00:05:10] 我不会申请博士
[00:05:10 -> 00:05:12] 但是我没有盯着这个目标去
[00:05:12 -> 00:05:12] 我没有对着这个目标去
[00:05:12 -> 00:05:14] 我觉得它是open的
[00:05:14 -> 00:05:15] 所以我也保留了这个选项
[00:05:15 -> 00:05:16] 探索了一下
[00:05:16 -> 00:05:18] 但我后来发现
[00:05:18 -> 00:05:19] 这个理论的问题非常有意思
[00:05:19 -> 00:05:20] 我自己也非常享受
[00:05:20 -> 00:05:21] 我当时就是觉得
[00:05:21 -> 00:05:23] 我甚至也不需要赚很多钱
[00:05:23 -> 00:05:24] 我觉得我想stay poor
[00:05:24 -> 00:05:26] 我想找一个没有人的地方
[00:05:26 -> 00:05:28] 我当时有一次去普林斯顿
[00:05:28 -> 00:05:29] 我去参加一个workshop
[00:05:29 -> 00:05:30] 然后我当时被那个环境
[00:05:30 -> 00:05:32] 就直接包围了
[00:05:32 -> 00:05:33] 进到普林斯那个校园
[00:05:33 -> 00:05:34] 那个环境里面
[00:05:34 -> 00:05:35] 我就突然觉得与世无争
[00:05:35 -> 00:05:36] 非常的academic
[00:05:36 -> 00:05:37] 跟哥大
[00:05:37 -> 00:05:38] 他也不是academic
[00:05:38 -> 00:05:39] 他就是与世无争
[00:05:39 -> 00:05:41] 进到那里的感觉就是没有
[00:05:41 -> 00:05:43] 就是会觉得你人世间的
[00:05:43 -> 00:05:46] 很多这种大家所在乎的东西
[00:05:46 -> 00:05:47] 你平时去挣扎臣服的东西
[00:05:47 -> 00:05:48] 都非常的没有意义
[00:05:48 -> 00:05:50] 是学校的环境
[00:05:50 -> 00:05:51] 给你这样的感觉
[00:05:51 -> 00:05:53] 还是说那边的人
[00:05:53 -> 00:05:54] 他的氛围是那样的
[00:05:54 -> 00:05:55] 应该也是
[00:05:55 -> 00:05:56] 还是那个workshop给我带的
[00:05:56 -> 00:05:57] 那个环境
[00:05:57 -> 00:05:58] 加上那个workshop里面的人
[00:05:58 -> 00:05:59] 大家的讨论的这个氛围感
[00:05:59 -> 00:06:00] 那个氛围感让我觉得
[00:06:00 -> 00:06:02] 所有事情都是不重要的
[00:06:02 -> 00:06:03] 我觉得人的想法
[00:06:03 -> 00:06:03] 都七情六欲
[00:06:03 -> 00:06:04] 都是不重要的
[00:06:04 -> 00:06:06] 都是甚至看上去
[00:06:06 -> 00:06:06] 有点荒诞的
[00:06:06 -> 00:06:07] 那什么是重要的
[00:06:07 -> 00:06:09] 就是什么都不重要
[00:06:09 -> 00:06:10] 是重要的
[00:06:10 -> 00:06:11] 就是一种是一种虚无
[00:06:11 -> 00:06:12] 你觉得虚无
[00:06:12 -> 00:06:13] 才是他真实的东西
[00:06:13 -> 00:06:15] 就只有真实是重要的
[00:06:15 -> 00:06:16] 真实是重要的
[00:06:16 -> 00:06:18] 然后数学在那个环境下
[00:06:18 -> 00:06:19] 就会显得特别的
[00:06:19 -> 00:06:20] 特别的美好
[00:06:20 -> 00:06:20] 特别的优美
[00:06:20 -> 00:06:23] 因为他是确定性
[00:06:23 -> 00:06:25] 而且是绝对化的
[00:06:25 -> 00:06:27] 然后你在跟他
[00:06:27 -> 00:06:27] 打交道的时候
[00:06:27 -> 00:06:30] 没有什么其他东西
[00:06:30 -> 00:06:30] 需要思考
[00:06:30 -> 00:06:31] 他可以让你
[00:06:31 -> 00:06:33] 非常的沉静和focus
[00:06:33 -> 00:06:34] 或者说你可以
[00:06:34 -> 00:06:34] 在这个环境里面
[00:06:34 -> 00:06:36] 进入心流状态
[00:06:36 -> 00:06:37] 思考问题的时候
[00:06:37 -> 00:06:37] 进入心流状态
[00:06:37 -> 00:06:38] 这个心流状态
[00:06:38 -> 00:06:40] 是与人无关
[00:06:40 -> 00:06:41] 与其他所有事情都无关
[00:06:41 -> 00:06:43] 大脑被完全地
[00:06:43 -> 00:06:43] 调转起来的时候
[00:06:43 -> 00:06:44] 进入生理性愉悦
[00:06:44 -> 00:06:45] 我有一点描述不出
[00:06:45 -> 00:06:46] 那个感觉
[00:06:46 -> 00:06:47] 我能get到你的意思
[00:06:47 -> 00:06:48] 但是这个状态
[00:06:48 -> 00:06:49] 我觉得非常的纯粹
[00:06:49 -> 00:06:50] 就是很纯粹
[00:06:50 -> 00:06:51] 很像一个
[00:06:51 -> 00:06:54] 会成为一个数学家的人
[00:06:54 -> 00:06:54] 的一个状态
[00:06:54 -> 00:06:55] 但是你后来
[00:06:55 -> 00:06:56] 为什么没有成为
[00:06:56 -> 00:06:57] 一个数学家呢
[00:06:57 -> 00:06:57] 对 我当时就是
[00:06:57 -> 00:06:58] 很想成为一个数学家
[00:06:58 -> 00:06:59] 我当时觉得
[00:06:59 -> 00:07:00] 我就要成为一个数学家
[00:07:00 -> 00:07:02] 我觉得我只想做数学
[00:07:04 -> 00:07:04] 但是
[00:07:04 -> 00:07:05] 事情的发展
[00:07:05 -> 00:07:07] 总是不是那么简单嘛
[00:07:07 -> 00:07:07] 那毕竟
[00:07:07 -> 00:07:08] 我还是有生活上的
[00:07:08 -> 00:07:09] 各种干扰
[00:07:09 -> 00:07:10] 到了斯坦福之后
[00:07:10 -> 00:07:12] 第一年也确实没有再
[00:07:12 -> 00:07:13] 我觉得到斯坦福
[00:07:13 -> 00:07:14] 我就没有那个感觉了
[00:07:14 -> 00:07:15] 我不知道这个是不是
[00:07:15 -> 00:07:16] 斯坦福不如
[00:07:16 -> 00:07:17] 古林斯的纯粹吗
[00:07:17 -> 00:07:18] 普林斯那个
[00:07:18 -> 00:07:19] 只是一场travel
[00:07:19 -> 00:07:20] 我人在疙瘩
[00:07:20 -> 00:07:21] 但是我在疙瘩的时候
[00:07:21 -> 00:07:22] 也能感受到这个氛围
[00:07:22 -> 00:07:23] 我甚至现在觉得
[00:07:23 -> 00:07:24] 是不是西韩和东海岸
[00:07:24 -> 00:07:25] 其实有点这种文化的
[00:07:25 -> 00:07:26] 差异性在
[00:07:26 -> 00:07:27] 西韩就是慢慢
[00:07:27 -> 00:07:28] 你会感觉到更多的
[00:07:28 -> 00:07:29] 这种关于成功与否的
[00:07:29 -> 00:07:30] 这种noise
[00:07:30 -> 00:07:31] 就是你想要参与
[00:07:31 -> 00:07:31] 世界的推动
[00:07:31 -> 00:07:32] 我又开始觉得
[00:07:32 -> 00:07:33] 我跟世界有关
[00:07:33 -> 00:07:34] 我就觉得
[00:07:34 -> 00:07:35] 我不想跟世界无关
[00:07:35 -> 00:07:36] 但我在东海岸的时候
[00:07:36 -> 00:07:37] 我觉得我希望
[00:07:37 -> 00:07:37] 我跟世界无关
[00:07:37 -> 00:07:39] 我希望我被世人遗忘
[00:07:39 -> 00:07:41] 很不一样的一种感受
[00:07:41 -> 00:07:42] 但我在斯坦福
[00:07:42 -> 00:07:43] 第一年的时候
[00:07:43 -> 00:07:44] 想做理论
[00:07:44 -> 00:07:45] 那个时候
[00:07:45 -> 00:07:46] 斯坦福是有
[00:07:46 -> 00:07:47] rotation program
[00:07:47 -> 00:07:47] 要配导师
[00:07:47 -> 00:07:48] 配导了之后
[00:07:48 -> 00:07:49] 你才决定你后面五年
[00:07:49 -> 00:07:50] 体验世界旅程怎么走
[00:07:50 -> 00:07:51] 前面几期
[00:07:51 -> 00:07:52] 我其实因为
[00:07:52 -> 00:07:52] 各种各样的原因
[00:07:52 -> 00:07:53] 比较复杂
[00:07:53 -> 00:07:53] 各种各样的原因
[00:07:53 -> 00:07:55] 没有再遇到
[00:07:55 -> 00:07:57] 很让我觉得
[00:07:57 -> 00:07:58] 能够进入
[00:07:58 -> 00:07:59] 心流状态的问题
[00:07:59 -> 00:08:00] 也没有跟哪个老师
[00:08:00 -> 00:08:01] 能够双向的
[00:08:01 -> 00:08:02] 都觉得很
[00:08:02 -> 00:08:03] 很exciting
[00:08:03 -> 00:08:04] 可能老师们也觉得
[00:08:04 -> 00:08:05] 我对他的问题
[00:08:05 -> 00:08:06] 不是特别感兴趣
[00:08:06 -> 00:08:06] 有一些情况
[00:08:06 -> 00:08:07] 有时候我可能也觉得
[00:08:07 -> 00:08:08] 那个老师
[00:08:08 -> 00:08:09] 我们没有完全match上
[00:08:09 -> 00:08:10] 最后到了第四轮
[00:08:10 -> 00:08:12] 跟我现在后来
[00:08:12 -> 00:08:13] 老师Scarg
[00:08:13 -> 00:08:14] match上的时候
[00:08:14 -> 00:08:15] 就已经进入到
[00:08:15 -> 00:08:17] 一个新的topic了
[00:08:17 -> 00:08:19] 是Clark Barrett教授
[00:08:19 -> 00:08:19] 对吧
[00:08:19 -> 00:08:21] 他其实是做
[00:08:21 -> 00:08:23] 形式化验证的一个方向
[00:08:23 -> 00:08:24] 能不能跟我们的观众
[00:08:24 -> 00:08:25] 来解释一下
[00:08:25 -> 00:08:26] 什么是形式化验证
[00:08:26 -> 00:08:28] 这个领域也很大
[00:08:28 -> 00:08:29] 但我可以简单讲
[00:08:29 -> 00:08:29] 我当时
[00:08:29 -> 00:08:30] 做的一部分的话题
[00:08:30 -> 00:08:31] 一部分的课题
[00:08:31 -> 00:08:32] 我们当时一部分的课题
[00:08:32 -> 00:08:33] 是我们要把
[00:08:33 -> 00:08:35] 就是我们人写出来的代码
[00:08:35 -> 00:08:38] 进行拆解和映射
[00:08:38 -> 00:08:39] 然后把它映射到
[00:08:39 -> 00:08:40] 底下的底层的
[00:08:40 -> 00:08:41] 这个数学逻辑上
[00:08:41 -> 00:08:42] 你可以把这个代码
[00:08:42 -> 00:08:43] 映射到一阶逻辑
[00:08:43 -> 00:08:45] 你在这个逻辑出来之后
[00:08:45 -> 00:08:46] 你就可以从数学角度
[00:08:46 -> 00:08:46] 去证明
[00:08:46 -> 00:08:48] 你写的这份代码
[00:08:48 -> 00:08:49] 它是不是具备
[00:08:49 -> 00:08:49] 某一个性质
[00:08:49 -> 00:08:51] 我更具体的来说的话
[00:08:51 -> 00:08:52] 那我一份代码
[00:08:52 -> 00:08:52] 其实
[00:08:52 -> 00:08:54] 以隐藏的来说
[00:08:54 -> 00:08:55] 我们是有一个东西
[00:08:55 -> 00:08:56] 叫做Spark Specification
[00:08:56 -> 00:08:58] Spark其实是
[00:08:58 -> 00:08:59] 说明了这个代码
[00:08:59 -> 00:09:00] 它应满足
[00:09:00 -> 00:09:01] 什么前驱条件
[00:09:01 -> 00:09:02] 它会有什么样的
[00:09:02 -> 00:09:03] invariance
[00:09:03 -> 00:09:04] 然后你代码执行完之后
[00:09:04 -> 00:09:05] 要满足什么样的条件
[00:09:05 -> 00:09:06] 你可以有这样一套语言
[00:09:06 -> 00:09:07] 去描述这个程序
[00:09:07 -> 00:09:08] 然后你要证明的就是
[00:09:08 -> 00:09:09] 如果你在有
[00:09:09 -> 00:09:10] 这个Spark的情况下
[00:09:10 -> 00:09:10] 你的代码
[00:09:10 -> 00:09:12] 是不是真的符合了
[00:09:12 -> 00:09:12] 这样一套逻辑
[00:09:12 -> 00:09:13] 从代码映射到
[00:09:13 -> 00:09:14] 这个逻辑
[00:09:14 -> 00:09:15] formular之后
[00:09:15 -> 00:09:16] formular之间的
[00:09:16 -> 00:09:17] 这个证明和推理
[00:09:17 -> 00:09:19] 就是我做的那个领域
[00:09:19 -> 00:09:19] 研究领域
[00:09:19 -> 00:09:21] SMT Solver做的事情
[00:09:21 -> 00:09:22] 然后我的研究
[00:09:22 -> 00:09:23] 大部分是在
[00:09:23 -> 00:09:24] SMT Solver的
[00:09:24 -> 00:09:26] 那个Solver本身的优化
[00:09:26 -> 00:09:27] 优化一方面
[00:09:27 -> 00:09:28] 跟efficiency有关
[00:09:28 -> 00:09:30] 一方面跟正确性有关
[00:09:30 -> 00:09:31] 但是它更多的是跟
[00:09:31 -> 00:09:33] 你怎么定义语义有关
[00:09:33 -> 00:09:34] 就是你定义
[00:09:34 -> 00:09:35] 什么样的语义空间
[00:09:35 -> 00:09:36] 可以去表达你
[00:09:36 -> 00:09:38] 一份代码所做的事情
[00:09:38 -> 00:09:38] 但斯坦福
[00:09:38 -> 00:09:39] 其实你开始
[00:09:39 -> 00:09:40] 这个深入形式化
[00:09:40 -> 00:09:41] 验证之后
[00:09:41 -> 00:09:42] 我们看到就是
[00:09:42 -> 00:09:43] 开始框框出论文
[00:09:43 -> 00:09:45] 2020年是拿到了
[00:09:45 -> 00:09:47] IJCard的最佳论文奖
[00:09:47 -> 00:09:48] 2022年是
[00:09:48 -> 00:09:49] 拿到了IJCard的提名
[00:09:49 -> 00:09:51] 后来又是CBC5的
[00:09:51 -> 00:09:52] 贡献者之一
[00:09:52 -> 00:09:53] 是拿到TACAS的
[00:09:53 -> 00:09:54] 最佳工具论文奖
[00:09:54 -> 00:09:56] 太高产了
[00:09:56 -> 00:09:56] 对
[00:09:56 -> 00:09:57] 你觉得这段时间
[00:09:57 -> 00:09:59] 你的一个研究的状态
[00:09:59 -> 00:10:00] 是什么样子的
[00:10:00 -> 00:10:01] 其实这个真实的过程
[00:10:01 -> 00:10:03] 比外面看到的
[00:10:03 -> 00:10:04] 这个简历上的那种
[00:10:04 -> 00:10:06] 要干扁很多
[00:10:06 -> 00:10:07] 其实要包容很多
[00:10:07 -> 00:10:09] 我其实在斯坦福
[00:10:09 -> 00:10:10] 前几年的经历
[00:10:10 -> 00:10:10] 并不顺利
[00:10:10 -> 00:10:11] 一个是我首先
[00:10:11 -> 00:10:12] 刚进来第一年的时候
[00:10:12 -> 00:10:13] 找导师
[00:10:13 -> 00:10:14] 其实就不是很顺利
[00:10:14 -> 00:10:15] 被动地进入了
[00:10:15 -> 00:10:16] 这个形式化方向的领域
[00:10:16 -> 00:10:17] 因为我要读这个PhD
[00:10:17 -> 00:10:18] 所以我才
[00:10:18 -> 00:10:19] 就是需要把这个地方
[00:10:19 -> 00:10:20] 不停地去做研究
[00:10:20 -> 00:10:21] 产出论文
[00:10:21 -> 00:10:22] 我其实比较被动的状态
[00:10:22 -> 00:10:24] 当然我在做的过程中
[00:10:24 -> 00:10:25] 慢慢地也欣赏到了
[00:10:25 -> 00:10:25] 它的美感
[00:10:25 -> 00:10:26] 后来我慢慢理解
[00:10:26 -> 00:10:27] 这件事情
[00:10:27 -> 00:10:28] 它为什么有意思
[00:10:28 -> 00:10:28] 以及我后来
[00:10:28 -> 00:10:29] 有些更多的思考
[00:10:29 -> 00:10:30] 我觉得它其实
[00:10:30 -> 00:10:31] 还有一个很有意思的未来
[00:10:31 -> 00:10:32] 但是最开始做
[00:10:32 -> 00:10:34] Politeness那篇论文的时候
[00:10:34 -> 00:10:35] 就是我第一次拿
[00:10:35 -> 00:10:36] EJK Best Paper那篇
[00:10:36 -> 00:10:37] 非常非常的意外
[00:10:37 -> 00:10:38] 因为我当时是一个
[00:10:38 -> 00:10:39] 完全小白的状态
[00:10:39 -> 00:10:41] 我对这个领域不知道
[00:10:41 -> 00:10:42] 导师给了我一个问题
[00:10:42 -> 00:10:43] 我去解决它而已
[00:10:43 -> 00:10:45] 然后我做完它的时候
[00:10:45 -> 00:10:47] 我也没有任何的认知
[00:10:47 -> 00:10:48] 说什么样是
[00:10:48 -> 00:10:49] 这个领域里最好的paper
[00:10:49 -> 00:10:50] 因为我看的paper
[00:10:50 -> 00:10:50] 还不够多
[00:10:50 -> 00:10:52] 所以这个讲出来的时候
[00:10:52 -> 00:10:53] 我完全没有想到
[00:10:53 -> 00:10:54] 被别人
[00:10:54 -> 00:10:55] congrats的时候
[00:10:55 -> 00:10:56] 得知拿到了这个奖
[00:10:56 -> 00:10:57] 那个是我
[00:10:57 -> 00:10:58] 进这个领域
[00:10:58 -> 00:10:59] 发的第一篇论文
[00:10:59 -> 00:11:01] 但是发完这篇论文之后
[00:11:01 -> 00:11:02] 其实我就又重新进入
[00:11:02 -> 00:11:03] 一个很down的状态
[00:11:03 -> 00:11:05] 就是我还是没有找到
[00:11:05 -> 00:11:06] 我想要做的
[00:11:06 -> 00:11:07] 下一个问题在哪
[00:11:07 -> 00:11:08] 就是exciting的问题在哪
[00:11:08 -> 00:11:10] 在那篇文章做完之后
[00:11:10 -> 00:11:12] 我记得就进入疫情了吧
[00:11:12 -> 00:11:13] 进入疫情
[00:11:13 -> 00:11:14] 我其实有长达一年的时间
[00:11:14 -> 00:11:16] 是没有做任何事情的
[00:11:16 -> 00:11:17] 接近一年的时间
[00:11:17 -> 00:11:19] 在一个depression的状态里
[00:11:19 -> 00:11:20] 但我遇到了
[00:11:20 -> 00:11:20] 非常好的导师
[00:11:20 -> 00:11:22] Karik非常supportive
[00:11:22 -> 00:11:23] 他完全理解说
[00:11:23 -> 00:11:24] 我要调整好这个状态
[00:11:24 -> 00:11:25] 他只关心我是不是
[00:11:25 -> 00:11:27] 有一个好的精神状态
[00:11:27 -> 00:11:28] 只关心我是不是
