# 转录元数据（whisper.cpp + VAD 原始输出，未修标点未纠错）
# 节目：帆书视频播客 · 第49期
# 标题：身体出现这些信号，可能是炎症在提醒你！三甲医生教你3个自查方法
# 主播：帆书主播（「范老师」，疑为樊登[?]）｜ 嘉宾：金博医生（三甲医生）
# 平台：B站 https://www.bilibili.com/video/BV1j18i6VEtn/
# 发布日期：2026-08-21 ｜ 时长：17m50s（1070s）｜ 段数：602
# pipeline：opencli bilibili download（绕 B站 412）→ ffmpeg → whisper.cpp / ggml-large-v3 / Metal / -l zh / --vad（silero）
# 校验源：B站官方字幕（opencli bilibili subtitle；ASR 产物自身有少量错误，已甄别标注）
[00:02:36 -> 00:02:37] 然后高血压
[00:02:37 -> 00:02:38] 包括一些遗传因素
[00:02:38 -> 00:02:39] 但是
[00:02:39 -> 00:02:42] 人们又发现一个奇怪的现象
[00:02:42 -> 00:02:45] 就是大概有四分之一的心脏病的人
[00:02:45 -> 00:02:47] 是没有任何危险因素的
[00:02:47 -> 00:02:48] 血脂也不高
[00:02:48 -> 00:02:49] 血压也不高
[00:02:49 -> 00:02:50] 也不抽烟
[00:02:50 -> 00:02:51] 但是依然出现了斑块
[00:02:51 -> 00:02:52] 什么原因
[00:02:52 -> 00:02:55] 他们发现体内有一种奇怪的蛋白
[00:02:55 -> 00:02:56] 叫做C反应蛋白
[00:02:56 -> 00:02:59] 这个蛋白是由肝脏产生的
[00:02:59 -> 00:03:01] 它和炎症的关系非常密切
[00:03:01 -> 00:03:03] 可以把它叫做
[00:03:03 -> 00:03:04] 体内炎症的温度计
[00:03:04 -> 00:03:06] 一个人炎症水平越高
[00:03:06 -> 00:03:08] 这个C反应蛋白的数值越高
[00:03:08 -> 00:03:09] 人们发现
[00:03:09 -> 00:03:11] 同样是40岁的年龄的人
[00:03:11 -> 00:03:12] C反应蛋白高的族群
[00:03:12 -> 00:03:15] 它的心脏病发生率要高三倍
[00:03:15 -> 00:03:16] 于是为了证实这个猜测
[00:03:16 -> 00:03:18] 哈佛大学的科研团队
[00:03:18 -> 00:03:19] 就做了一个很著名的
[00:03:19 -> 00:03:20] 叫做卡纳丹康的研究
[00:03:20 -> 00:03:21] 这个药物本来是用于
[00:03:21 -> 00:03:23] 治疗这种男智性关节炎的
[00:03:23 -> 00:03:25] 目的就是来阻断炎症发展的过程
[00:03:25 -> 00:03:27] 后来这个实验历时了
[00:03:27 -> 00:03:28] 大概几年的时间
[00:03:28 -> 00:03:29] 然后人们惊讶的发现
[00:03:29 -> 00:03:32] 在不干扰任何因素的情况下
[00:03:32 -> 00:03:34] 你只是单纯的给病人
[00:03:34 -> 00:03:35] 降低这个炎症的反应
[00:03:35 -> 00:03:38] 心脏病的发生率降低了15%
[00:03:38 -> 00:03:40] 所以这个实验就说明
[00:03:40 -> 00:03:40] 那个很重要的问题
[00:03:40 -> 00:03:43] 就是炎症也是作为心血管疾病的
[00:03:43 -> 00:03:45] 其中一个很重要的危险因素
[00:03:45 -> 00:03:48] 我们以前觉得心脏病跟炎症没关系
[00:03:48 -> 00:03:50] 我们觉得心脏病可能就是一种堵塞
[00:03:50 -> 00:03:52] 或者是高胆固醇
[00:03:52 -> 00:03:54] 什么高血压高血脂导致的
[00:03:54 -> 00:03:56] 实际上这背后也有炎症的原因
[00:03:56 -> 00:03:57] 原理在起作用
[00:03:57 -> 00:03:57] 是的
[00:03:57 -> 00:03:59] 所以总结起来就是
[00:03:59 -> 00:04:01] 一方面炎症可以损害血管那批细胞
[00:04:01 -> 00:04:03] 另外一方面它加重了板块的形成
[00:04:03 -> 00:04:04] 一个人的癌症
[00:04:04 -> 00:04:06] 源于自己体内细胞的叛变
[00:04:06 -> 00:04:08] 比如大家可以想象一个画面
[00:04:08 -> 00:04:11] 假如我用手摸你的皮肤会致癌吗
[00:04:11 -> 00:04:12] 不会
[00:04:12 -> 00:04:13] 因为它不是个伤害
[00:04:13 -> 00:04:15] 如果我用刀切你的皮肤会致癌吗
[00:04:15 -> 00:04:16] 也不会
[00:04:16 -> 00:04:18] 因为太厉害了
[00:04:18 -> 00:04:19] 这个细胞就坏死了
[00:04:19 -> 00:04:22] 但是假如我用毛刷不停地刷你的皮肤
[00:04:22 -> 00:04:24] 慢慢的皮肤就会变成癌
[00:04:24 -> 00:04:27] 所以癌症源于体内的一种慢性的
[00:04:27 -> 00:04:28] 亚质死性损害
[00:04:28 -> 00:04:30] 所以体内的这种无声的炎症
[00:04:30 -> 00:04:32] 其实就像这种慢性亚质死性损害
[00:04:32 -> 00:04:34] 一方面它会损害你的细胞
[00:04:34 -> 00:04:36] 刺激你的细胞不断的增殖
[00:04:36 -> 00:04:38] 所以说大概有四分之一的癌症
[00:04:38 -> 00:04:40] 可能都跟炎症有关系
[00:04:40 -> 00:04:41] 比如说口腔溃疡
[00:04:41 -> 00:04:43] 如果你有一个曲齿
[00:04:43 -> 00:04:44] 你不注意的
[00:04:44 -> 00:04:45] 这个曲齿老刺激你的粘膜
[00:04:45 -> 00:04:46] 老有口腔溃疡
[00:04:46 -> 00:04:48] 慢慢也容易变成口腔癌
[00:04:48 -> 00:04:50] 然后晚上吃饭
[00:04:50 -> 00:04:52] 我们经常睡觉前吃特别多
[00:04:52 -> 00:04:53] 你半夜反酸
[00:04:53 -> 00:04:54] 这是因为你睡觉的时候
[00:04:54 -> 00:04:56] 根门口约肌松弛以后
[00:04:56 -> 00:04:57] 胃酸会反到食管上
[00:04:57 -> 00:04:59] 而食管是没有粘膜保护的
[00:04:59 -> 00:05:01] 被泡在强酸下
[00:05:01 -> 00:05:03] 它也会导致一种食管癌的产生
[00:05:03 -> 00:05:05] 再有优门罗杆菌
[00:05:05 -> 00:05:06] 会导致胃癌
[00:05:06 -> 00:05:09] 因为它也会破坏局部细胞的DNA
[00:05:09 -> 00:05:11] 所以我们中国尽量建议大家分参制
[00:05:11 -> 00:05:13] 再比如说到肠道
[00:05:13 -> 00:05:15] 有些人有肤质的过敏
[00:05:15 -> 00:05:16] 鸡蛋的过敏
[00:05:16 -> 00:05:17] 长期腹泻
[00:05:17 -> 00:05:18] 长期乳迷泻
[00:05:18 -> 00:05:20] 有溃疡性结肠炎
[00:05:20 -> 00:05:22] 在慢性炎症的刺激下
[00:05:22 -> 00:05:23] 其实都很容易产生癌症
[00:05:23 -> 00:05:25] 而且还不光这些
[00:05:25 -> 00:05:27] 有一些比如说乙肝病毒
[00:05:27 -> 00:05:29] 丙肝病毒的感染
[00:05:29 -> 00:05:30] 包括女性的HPV的感染
[00:05:30 -> 00:05:31] 这都是炎症
[00:05:31 -> 00:05:32] 它都会刺激局部
[00:05:32 -> 00:05:33] 你身体的细胞
[00:05:33 -> 00:05:35] 然后产生慢性牙质性的损害
[00:05:35 -> 00:05:37] 然后慢慢时间久了
[00:05:37 -> 00:05:38] 如果控制不好
[00:05:38 -> 00:05:39] 癌细胞就出现了
[00:05:39 -> 00:05:43] 肥胖症是致癌的非常重要的一个原因
[00:05:43 -> 00:05:44] 而且它也是炎症
[00:05:44 -> 00:05:49] 至少有13种的癌症跟肥胖是有关系的
[00:05:49 -> 00:05:50] 当然在这张我们强调的是肥胖症
[00:05:50 -> 00:05:53] 不是说我们正常体态脂肪细胞
[00:05:53 -> 00:05:56] 这是在微观层面下
[00:05:56 -> 00:05:58] 科学家发现
[00:05:58 -> 00:06:00] 肥胖症的脂肪细胞
[00:06:00 -> 00:06:02] 周围都是被巨石细胞
[00:06:02 -> 00:06:03] 所包围的
[00:06:03 -> 00:06:07] 因此超众人的身体上
[00:06:07 -> 00:06:07] 脂肪细胞周围
[00:06:07 -> 00:06:09] 就是有这种慢性之火在燃烧
[00:06:09 -> 00:06:12] 所以我们在临床上也观察发现
[00:06:12 -> 00:06:15] 很多癌症特别容易生长
[00:06:15 -> 00:06:17] 在脂肪细胞的旁边
[00:06:17 -> 00:06:19] 这书中特别提到的
[00:06:19 -> 00:06:21] 比如说乳腺癌
[00:06:21 -> 00:06:22] 包括胃癌
[00:06:22 -> 00:06:25] 包括一些很多我们常见的癌症
[00:06:25 -> 00:06:27] 都是容易在脂肪细胞旁边恶化
[00:06:27 -> 00:06:28] 就是因为这种细胞
[00:06:28 -> 00:06:29] 它营造的这种炎性环境
[00:06:29 -> 00:06:31] 有利于癌细胞的生长
[00:06:31 -> 00:06:33] 这里边还有一个词
[00:06:33 -> 00:06:35] 觉得需要让大家了解
[00:06:35 -> 00:06:36] 叫隐匿的炎症
[00:06:36 -> 00:06:38] 就是有的炎症你能感觉得到
[00:06:38 -> 00:06:40] 比如说你牙疼就能感觉得到
[00:06:40 -> 00:06:42] 手上溃疡都能感觉得到
[00:06:42 -> 00:06:44] 但是隐匿的炎症是什么呢
[00:06:44 -> 00:06:46] 就是你一点都不知道的
[00:06:46 -> 00:06:46] 对
[00:06:46 -> 00:06:49] 它指的就是我们体内的这种慢性的低水平的炎症
[00:06:49 -> 00:06:52] 它还没有严重到让你产生这种症状
[00:06:52 -> 00:06:54] 但它其实像一个小火慢炖一样
[00:06:54 -> 00:06:56] 在损害着你的身体
[00:06:56 -> 00:06:58] 比如好多肠道里面有一些炎症
[00:06:58 -> 00:07:00] 如果你饮食不当的时候
[00:07:00 -> 00:07:01] 你感觉不到
[00:07:01 -> 00:07:02] 最多会有一点腐泻
[00:07:02 -> 00:07:03] 但是如果你
[00:07:03 -> 00:07:04] 用内窥镜检查的话
[00:07:04 -> 00:07:06] 它的肠壁细胞是变红的
[00:07:06 -> 00:07:07] 只是不严重
[00:07:07 -> 00:07:08] 但这种其实更可怕
[00:07:08 -> 00:07:10] 这本书其实论证的就是这一点
[00:07:10 -> 00:07:13] 长期的慢性炎症对细胞的损害是很大的
[00:07:13 -> 00:07:15] 包括心脏上的炎症
[00:07:15 -> 00:07:17] 就像一点心肌的这种发炎
[00:07:17 -> 00:07:18] 是不是也会感觉不到
[00:07:18 -> 00:07:19] 对
[00:07:19 -> 00:07:21] 为什么我们建议大家
[00:07:21 -> 00:07:24] 感冒急性期的时候不要过度运动
[00:07:24 -> 00:07:25] 它就容易诱发心肌炎
[00:07:25 -> 00:07:27] 而且一旦出现心肌炎的话
[00:07:27 -> 00:07:28] 会有恶性的心律失常
[00:07:28 -> 00:07:29] 这些问题的产生
[00:07:29 -> 00:07:32] 接下来的叫炎性衰老
[00:07:32 -> 00:07:34] 这个我不明白
[00:07:34 -> 00:07:34] 以前很少
[00:07:34 -> 00:07:35] 听这个词
[00:07:35 -> 00:07:36] 什么叫炎性衰老
[00:07:36 -> 00:07:37] 当一个人衰老的时候
[00:07:37 -> 00:07:39] 他的炎症水平是在增高
[00:07:39 -> 00:07:43] 炎性衰老特别容易损害一个人的大脑
[00:07:43 -> 00:07:44] 作者里面特别举了一个例子
[00:07:44 -> 00:07:46] 就是在1906年的时候
[00:07:46 -> 00:07:48] 当时德国的一位医生叫阿尔茨海默
[00:07:48 -> 00:07:50] 他观察了一位56岁
[00:07:50 -> 00:07:52] 刚刚去世的一个女性患者
[00:07:52 -> 00:07:53] 这个患者呢
[00:07:53 -> 00:07:55] 就是生前出现了非常严重的记忆力的下降
[00:07:55 -> 00:07:57] 甚至连自己的家在哪里都不记得
[00:07:57 -> 00:08:00] 后来他把这个患者的大脑进行了解剖
[00:08:00 -> 00:08:01] 研究发现
[00:08:01 -> 00:08:02] 有两个特别显著的变化
[00:08:02 -> 00:08:03] 一个呢
[00:08:03 -> 00:08:06] 是大脑里面有很多黄褐色的沉淀
[00:08:06 -> 00:08:08] 后来证实这是两种蛋白
[00:08:08 -> 00:08:09] 一个叫做β-电肥胺蛋白
[00:08:09 -> 00:08:11] 一种叫做Tau蛋白
[00:08:11 -> 00:08:12] 它就像烤箱糖一样
[00:08:12 -> 00:08:14] 粘住了你的神经细胞的网络
[00:08:14 -> 00:08:15] 让它短路了
[00:08:15 -> 00:08:16] 另外他还发现了
[00:08:16 -> 00:08:18] 有好多奇怪的小的细胞
[00:08:18 -> 00:08:20] 这个细胞他还手绘在他的笔记上
[00:08:20 -> 00:08:21] 后来人们发现
[00:08:21 -> 00:08:23] 这个细胞叫做小胶质细胞
[00:08:23 -> 00:08:25] 就是我们人大脑的一些代谢产物
[00:08:25 -> 00:08:26] 这个小胶质细胞
[00:08:26 -> 00:08:28] 它会过来去吞噬和清理
[00:08:28 -> 00:08:30] 所以它就在大脑当中
[00:08:30 -> 00:08:32] 掀起了一场慢性的炎症
[00:08:32 -> 00:08:34] 所以很多阿尔茨海默患者的病人
[00:08:34 -> 00:08:36] 大脑的这种炎症的水平
[00:08:36 -> 00:08:36] 是周而复始
[00:08:36 -> 00:08:38] 潮起潮落不断进行的
[00:08:38 -> 00:08:40] 所以炎症是加速了很多神经
[00:08:40 -> 00:08:42] 退行性变的产生
[00:08:42 -> 00:08:44] 因为这个疾病一旦发病
[00:08:44 -> 00:08:45] 大概我读文献
[00:08:45 -> 00:08:47] 它的中位生存率的时间
[00:08:47 -> 00:08:48] 大概是9年
[00:08:48 -> 00:08:50] 不是说人记不住东西
[00:08:50 -> 00:08:51] 就会危及生命
[00:08:51 -> 00:08:53] 而是它是以记忆力减退
[00:08:53 -> 00:08:55] 为代表的整个大脑功能的下降
[00:08:55 -> 00:08:56] 比如这样的患者
[00:08:56 -> 00:08:57] 好多是因为跌倒
[00:08:57 -> 00:08:58] 骨折最后离开
[00:08:58 -> 00:09:00] 那我们怎么才能够知道
[00:09:00 -> 00:09:02] 自己体内有没有隐形的炎症
[00:09:02 -> 00:09:06] 一方面就是可以去查一个
[00:09:06 -> 00:09:07] 这个C反应蛋白
[00:09:07 -> 00:09:09] 因为它还是比较敏感的
[00:09:09 -> 00:09:10] 现在我们都很注意
[00:09:10 -> 00:09:11] 这个C反应蛋白的检查
[00:09:11 -> 00:09:12] 大家去医院查血
[00:09:12 -> 00:09:13] 血肠归的最后一项
[00:09:13 -> 00:09:14] 都是C反应蛋白
[00:09:14 -> 00:09:15] 如果你内脏脂肪超标
[00:09:15 -> 00:09:17] 很有可能你就是有炎症的
[00:09:17 -> 00:09:18] 怎么知道呢
[00:09:18 -> 00:09:19] 有一个很简单的指标
[00:09:19 -> 00:09:20] 就是测量你的腰围
[00:09:20 -> 00:09:22] 因为腰围是直接反映
[00:09:22 -> 00:09:24] 你内脏脂肪的
[00:09:24 -> 00:09:26] 男性最好不要超过90公分
[00:09:26 -> 00:09:28] 女性最好不要超过80公分
[00:09:28 -> 00:09:29] 那我肯定是超了
[00:09:29 -> 00:09:30] 我也有点超
[00:09:30 -> 00:09:31] 你还超啊
[00:09:31 -> 00:09:31] 我93公分
[00:09:31 -> 00:09:33] 差一点点
[00:09:33 -> 00:09:33] 对
[00:09:33 -> 00:09:35] 所以就是通过这些指标
[00:09:35 -> 00:09:36] 我们大概能知道
[00:09:36 -> 00:09:37] 你体内是不是出于
[00:09:37 -> 00:09:38] 一种慢性炎症的状态
[00:09:38 -> 00:09:39] 所以我们要通过
[00:09:39 -> 00:09:39] 合理的饮食
[00:09:39 -> 00:09:40] 合理的运动
[00:09:40 -> 00:09:41] 最好的体型是什么呢
[00:09:41 -> 00:09:42] 四肢很健壮
[00:09:42 -> 00:09:43] 但是肚子小
[00:09:43 -> 00:09:45] 我们过去老形容一个人
[00:09:45 -> 00:09:46] 叫膀大腰圆
[00:09:46 -> 00:09:47] 看来不是什么好事
[00:09:47 -> 00:09:49] 古代的人膀大腰圆
[00:09:49 -> 00:09:50] 为什么不得癌症呢
[00:09:50 -> 00:09:51] 因为他活不到那年龄
[00:09:51 -> 00:09:53] 现在咱们四五十岁
[00:09:53 -> 00:09:53] 才刚刚开始
[00:09:53 -> 00:09:55] 还是要把腰围控制下来
[00:09:55 -> 00:09:55] 控制下来
[00:09:55 -> 00:09:56] 对
[00:09:56 -> 00:09:58] 特别是在现代的饮食当中
[00:09:58 -> 00:09:58] 我们要控制下来
[00:09:58 -> 00:10:00] 所以肥胖
[00:10:00 -> 00:10:02] 也叫代谢综合症
[00:10:02 -> 00:10:03] 就是一个人的代谢
[00:10:03 -> 00:10:03] 出现了问题
[00:10:03 -> 00:10:04] 身体变得很胖
[00:10:04 -> 00:10:05] 你一定要重视这件事
[00:10:05 -> 00:10:07] 因为你体内在发生着炎症
[00:10:07 -> 00:10:08] 当你观察一个人
[00:10:08 -> 00:10:09] 一两个指标的时候
[00:10:09 -> 00:10:10] 基本上能够判断
[00:10:10 -> 00:10:11] 他全身的状况
[00:10:11 -> 00:10:13] 比如一个人走路的速度
[00:10:13 -> 00:10:14] 走的速度
[00:10:14 -> 00:10:15] 如果他走路慢了
[00:10:15 -> 00:10:16] 代表了体内衰老的程度增加
[00:10:16 -> 00:10:19] 包括一个人的握力下降
[00:10:19 -> 00:10:19] 也代表着
[00:10:19 -> 00:10:20] 可能你的衰老
[00:10:20 -> 00:10:21] 身体的机能在下降
[00:10:21 -> 00:10:23] 这种疾病
[00:10:23 -> 00:10:25] 是目前最难治疗的疾病
[00:10:25 -> 00:10:26] 一旦发现了
[00:10:26 -> 00:10:28] 基本上没有什么好的方法
[00:10:28 -> 00:10:28] 去治疗他
[00:10:28 -> 00:10:30] 但是我们可以用一些
[00:10:30 -> 00:10:32] 有效的措施去预防
[00:10:32 -> 00:10:33] 就只能去预防
[00:10:33 -> 00:10:35] 包括睡好觉
[00:10:35 -> 00:10:37] 因为这些β-D-氧蛋白
[00:10:37 -> 00:10:38] 在你睡不好觉的时候
[00:10:38 -> 00:10:39] 它就会过度的沉积在大脑当中
[00:10:39 -> 00:10:41] 包括饮食
[00:10:41 -> 00:10:43] 如果你本身对肤质有过敏
[00:10:43 -> 00:10:45] 你整天的去吃这些过敏的东西
[00:10:45 -> 00:10:47] 也会加速这种衰老
[00:10:47 -> 00:10:48] 就是对于这种病来说
[00:10:48 -> 00:10:49] 我们只能通过
[00:10:49 -> 00:10:50] 规律的生活方式
[00:10:50 -> 00:10:51] 去进行
[00:10:51 -> 00:10:52] 最好去预防它
[00:10:52 -> 00:10:54] 要在这个疾病拐点发现之前
[00:10:54 -> 00:10:55] 你去进行干预
[00:10:55 -> 00:10:56] 不见得
[00:10:56 -> 00:10:58] 百分之百就能预防它的发生
[00:10:58 -> 00:10:59] 但是至少它能把这个
[00:10:59 -> 00:11:00] 发生的时间推迟
[00:11:00 -> 00:11:02] 肠道菌群对身体是非常重要
[00:11:02 -> 00:11:04] 但是我们的饮食
[00:11:04 -> 00:11:06] 直接决定了这个菌群
[00:11:06 -> 00:11:08] 到底是醋盐的表达
[00:11:08 -> 00:11:09] 还是消盐的表达
[00:11:09 -> 00:11:10] 那咱们好好讲讲这段
[00:11:10 -> 00:11:11] 这段最有用
[00:11:11 -> 00:11:13] 我们应该怎么吃
[00:11:13 -> 00:11:15] 第一个就是脂肪
[00:11:15 -> 00:11:17] 饱和脂肪酸
[00:11:17 -> 00:11:19] 主要来自于动物的蛋白
[00:11:19 -> 00:11:20] 比如说牛油
[00:11:20 -> 00:11:22] 比如说黄油
[00:11:22 -> 00:11:24] 因为它是饱和的
[00:11:24 -> 00:11:25] 所以结构比较稳定
[00:11:25 -> 00:11:26] 在常温下
[00:11:26 -> 00:11:28] 绝大多数的饱和脂肪酸
[00:11:28 -> 00:11:29] 都是固态
[00:11:29 -> 00:11:31] 而不饱和脂肪酸
[00:11:31 -> 00:11:33] 绝大多数来源于植物
[00:11:33 -> 00:11:33] 像橄榄油
[00:11:33 -> 00:11:35] 像亚麻籽油
[00:11:35 -> 00:11:36] 它在常温状况下
[00:11:36 -> 00:11:38] 绝大多数都是液态
[00:11:38 -> 00:11:40] 过多的饱和脂肪酸
[00:11:40 -> 00:11:41] 是醋盐的
[00:11:41 -> 00:11:42] 而不饱和脂肪酸
[00:11:42 -> 00:11:45] 是帮助人们消盐的
[00:11:45 -> 00:11:46] 在这个书中还提到
[00:11:46 -> 00:11:48] 这个不饱和脂肪酸里面
[00:11:48 -> 00:11:51] 有两个是特别重要的
[00:11:51 -> 00:11:51] 我觉得这也是
[00:11:51 -> 00:11:52] 对我启发特别大的
[00:11:52 -> 00:11:54] 一个叫做Omega-3
[00:11:54 -> 00:11:55] 一个叫做Omega-6
[00:11:55 -> 00:11:57] 这两种不饱和脂肪酸
[00:11:57 -> 00:11:59] 都属于必需脂肪酸
[00:11:59 -> 00:12:00] 也就是体内没有办法合成
[00:12:00 -> 00:12:02] 我们一定要从
[00:12:02 -> 00:12:03] 食物当中摄取的
[00:12:03 -> 00:12:06] Omega-3是帮助消盐
[00:12:06 -> 00:12:09] Omega-6是促进炎症
[00:12:09 -> 00:12:12] 而且Omega-6和Omega-3
[00:12:12 -> 00:12:14] 它们属于竞争的关系
[00:12:14 -> 00:12:16] 因为它会竞争细胞空间
[00:12:16 -> 00:12:18] 你吃Omega-6多了
[00:12:18 -> 00:12:19] Omega-3本身就少
[00:12:19 -> 00:12:21] 你吃Omega-3多了
[00:12:21 -> 00:12:21] Omega-6就少
[00:12:21 -> 00:12:23] 很多植物当中
[00:12:23 -> 00:12:24] 其实都富含Omega-3
[00:12:24 -> 00:12:25] 特别是什么
[00:12:25 -> 00:12:26] 深色的绿叶菜
[00:12:26 -> 00:12:28] 特别是野生型的
[00:12:28 -> 00:12:29] 还有像核桃
[00:12:29 -> 00:12:30] 亚麻籽
[00:12:30 -> 00:12:31] 大麻籽等等
[00:12:31 -> 00:12:33] 另外Omega-3
[00:12:33 -> 00:12:35] 在藻类当中的含量也很充沛
[00:12:35 -> 00:12:37] 然后一路进入到海洋的食物链
[00:12:37 -> 00:12:39] 所以深海鱼当中
[00:12:39 -> 00:12:40] 也是非常富含有Omega-3的
[00:12:40 -> 00:12:42] 对于我们现代的中国人来说
[00:12:42 -> 00:12:44] 我们尽可能要多补充一些Omega-3
[00:12:44 -> 00:12:47] 除了每次我们要大量的绿叶菜之外
[00:12:47 -> 00:12:49] 每周还是要
[00:12:49 -> 00:12:51] 就是至少吃两次鱼
[00:12:51 -> 00:12:54] 而且吃的鱼最好是深海鱼
[00:12:54 -> 00:12:57] 为什么深色的蔬菜营养好
[00:12:57 -> 00:12:59] 就是这个蔬菜越深
[00:12:59 -> 00:13:00] 它这个颜色
[00:13:00 -> 00:13:03] 它代表着体内的植物的化合物更多
