# 《你到底该不该吃早餐?这期告诉你早餐的真相》— 原始转录

> **节目**：鹿哥Gustav（B站知识区 UP 主，UID 419836775）
> **来源**：B站 · BV1HUNk6MEY5 · 发布 2026-07-14
> **时长**：16min56s（1016 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 直连被 B站 412 反爬拦截，bili-cli audio 接口故障）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 645 段 / 5,842 汉字 / 语速 345 字/min
> **校验源**：B站官方字幕（577 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:02]  这是一期告诉你,你到底该不该吃早餐的视频
[00:00:57 --> 00:00:59]  因为他自己就是一个病人
[00:00:59 --> 00:01:01]  说他搞科学也不是虚的
[00:01:01 --> 00:01:04]  他在牛津大学念的临床生物化学博士
[00:01:04 --> 00:01:06]  后来又去了剑桥大学教过书
[00:01:06 --> 00:01:08]  研究的就是身体里的那些生化反应
[00:01:08 --> 00:01:11]  2010年的时候,他查出来二型糖尿病
[00:01:11 --> 00:01:13]  那一年他58岁
[00:01:13 --> 00:01:15]  有意思的是,最先看出他不对劲的
[00:01:15 --> 00:01:17]  不是他自己这个懂生物化学的人
[00:01:17 --> 00:01:19]  而是他的老婆
[00:01:19 --> 00:01:21]  他老婆虽然不懂医学,但是他看得见
[00:01:21 --> 00:01:23]  那这个人怎么天天往厕所跑呢
[00:01:23 --> 00:01:24]  停不下来的喝水
[00:01:24 --> 00:01:26]  人还一个劲的在瘦
[00:01:26 --> 00:01:27]  前后掉了块阿斯利康
[00:01:27 --> 00:01:30]  30斤,是他老婆硬把他拽到医院的
[00:01:30 --> 00:01:31]  一查数字非常吓人
[00:01:31 --> 00:01:33]  空腹血糖19.3
[00:01:33 --> 00:01:35]  你要知道,健康人的空腹血糖
[00:01:35 --> 00:01:36]  也就5上下左右
[00:01:36 --> 00:01:38]  过了7就算是糖尿病了
[00:01:38 --> 00:01:41]  他直接就是19.3,差不多是正常人的4倍
[00:01:41 --> 00:01:43]  还有一个叫做糖化血红蛋白的指标
[00:01:43 --> 00:01:46]  能看出你最近两个月的血糖怎么样
[00:01:46 --> 00:01:47]  健康人的在6以下
[00:01:47 --> 00:01:48]  他的13.3
[00:01:48 --> 00:01:51]  医生给的诊断就是重度的二型糖尿病
[00:01:51 --> 00:01:52]  这并不轻啊
[00:01:52 --> 00:01:55]  医生给他开的医嘱就是跟别的糖尿病的病人开的差不多
[00:01:56 --> 00:01:57]  早饭也按时吃
[00:01:57 --> 00:01:57]  早饭也按时吃
[00:01:57 --> 00:01:58]  多吃一点复合碳水
[00:01:58 --> 00:02:02]  什么燕麦粥啊,全麦面包啊,土豆啊,糙米啊
[00:02:02 --> 00:02:03]  少放油,酒别喝
[00:02:03 --> 00:02:05]  那换别人呢,也就照做了
[00:02:05 --> 00:02:07]  但积来不是啊
[00:02:07 --> 00:02:08]  他自己掏钱买了一个血糖仪
[00:02:08 --> 00:02:10]  天天扎自己的手指头测
[00:02:10 --> 00:02:13]  他还吐槽说啊,那些英国的公费医疗
[00:02:13 --> 00:02:16]  根本不爱给这些糖尿病的病人发这种血糖仪
[00:02:16 --> 00:02:17]  生怕他们自己测出来
[00:02:17 --> 00:02:19]  那自己在家里面就琢磨出真相了
[00:02:19 --> 00:02:21]  那他测出来是什么呢
[00:02:21 --> 00:02:24]  早上刚起床的时候还没有吃任何东西
[00:02:24 --> 00:02:25]  空腹血糖大概在7.5
[00:02:25 --> 00:02:27]  然后他就按照医生说的
[00:02:27 --> 00:02:29]  吃那碗号称健康的燕麦粥
[00:02:29 --> 00:02:30]  不加糖也不加奶
[00:02:30 --> 00:02:33]  结果血糖蹭了一下就冲过了11
[00:02:33 --> 00:02:36]  用他自己的话说啊,就是血糖直接就冲上天了
[00:02:36 --> 00:02:37]  就这么测了两三天之后
[00:02:37 --> 00:02:39]  他把这个规律给摸透了
[00:02:39 --> 00:02:41]  他觉得这个医嘱太荒唐了
[00:02:41 --> 00:02:44]  偏偏挑早上这个点,让你猛灌一碗碳水
[00:02:44 --> 00:02:45]  那至于早上为什么这么特别
[00:02:45 --> 00:02:47]  后面我们专门来说这个点
[00:02:47 --> 00:02:48]  那他自己是怎么处理的呢
[00:02:48 --> 00:02:50]  哎,干脆早饭就不吃了
[00:02:50 --> 00:02:53]  碳水也砍掉了,血糖就回到了正常范围
[00:02:53 --> 00:02:55]  他后来甚至很极端的说啊
[00:02:55 --> 00:02:57]  但凡他拿到一篇讲早餐的论文
[00:02:57 --> 00:02:59]  头一个念头就是这帮骗子
[00:02:59 --> 00:03:01]  这回又想怎么骗我
[00:03:01 --> 00:03:03]  他把他自己的这一套经历啊,就写成了这本书
[00:03:03 --> 00:03:05]  但是你回过头来想一想
[00:03:05 --> 00:03:07]  他这一整套,说到底啊,就是他自己
[00:03:07 --> 00:03:09]  自己扎自己的手指头测出来的
[00:03:09 --> 00:03:10]  那到底靠不靠谱呢
[00:03:10 --> 00:03:13]  其实质疑早餐的科学家还是有很多的
[00:03:13 --> 00:03:15]  那就比如伦敦国王学院有个教授
[00:03:15 --> 00:03:16]  叫做蒂姆·斯佩克特
[00:03:16 --> 00:03:19]  那这个人干两件事,一个是研究基因
[00:03:19 --> 00:03:21]  研究双胞胎,看人和人之间
[00:03:21 --> 00:03:23]  到底差在哪,那另外一个呢
[00:03:23 --> 00:03:25]  就是研究你肚子里面的那些细菌
[00:03:25 --> 00:03:26]  长大微生物,他就特别不信
[00:03:26 --> 00:03:28]  早餐最重要这一套说法
[00:03:28 --> 00:03:30]  2019年1月的时候,他写了一篇文章
[00:03:30 --> 00:03:32]  题目就甩了一个问号,就是早餐
[00:03:32 --> 00:03:34]  真的是一天中最重要的那一顿吗
[00:03:34 --> 00:03:36]  他就提到,有人其实把过去
[00:03:36 --> 00:03:38]  13项吃早餐和不吃早餐
[00:03:38 --> 00:03:40]  到底能不能减肥的对照实验
[00:03:40 --> 00:03:43]  全部放到了一起,挨个捋了一遍
[00:03:43 --> 00:03:45]  捋出来的结论其实非常打脸
[00:03:45 --> 00:03:46]  压根找不到任何证据
[00:03:46 --> 00:03:48]  能说明不吃早餐就会变胖
[00:03:48 --> 00:03:50]  那不光不会变胖,反过来
[00:03:50 --> 00:03:52]  那些天天吃早餐的人,平均每一天
[00:03:52 --> 00:03:55]  还会多吃差不多260大卡
[00:03:55 --> 00:03:56]  体重不降反升
[00:03:56 --> 00:03:58]  那斯佩科特他自己的观点就是
[00:03:58 --> 00:04:00]  所有人都得吃早餐,这套说法
[00:04:00 --> 00:04:03]  越来越像是一句传统的瞎话
[00:04:03 --> 00:04:04]  所以你妈妈让你吃早餐
[00:04:04 --> 00:04:06]  说早餐是最重要的一餐
[00:04:06 --> 00:04:08]  这些观念具体是从哪来的
[00:04:08 --> 00:04:11]  我们只有一路理顺了这个历史发展的源头
[00:04:11 --> 00:04:13]  才能够知道这些观念的出身
[00:04:13 --> 00:04:14]  是不是干净的科学
[00:04:14 --> 00:04:20]  那如果你回顾整个人
[00:04:20 --> 00:04:22]  人类的历史,你就会惊讶的发现
[00:04:22 --> 00:04:24]  早餐这顿饭,地位其实一直在变
[00:04:24 --> 00:04:26]  从来就不是天经地义的
[00:04:26 --> 00:04:28]  古希腊人吃早餐,古罗马人也吃
[00:04:28 --> 00:04:30]  那个时候的早餐就是面包
[00:04:30 --> 00:04:32]  奶酪,橄榄,坚果,葡萄干
[00:04:32 --> 00:04:34]  再加一些穀物
[00:04:34 --> 00:04:36]  那么但是到了西罗马垮了以后
[00:04:36 --> 00:04:37]  差不多有一千多年
[00:04:37 --> 00:04:39]  体面的贵族反而不吃早餐了
[00:04:39 --> 00:04:40]  到了中世纪
[00:04:40 --> 00:04:43]  早餐成了底层劳工才会吃的饭
[00:04:43 --> 00:04:45]  谁早上动筷子就证明
[00:04:45 --> 00:04:46]  这个是要下地干活的人
[00:04:46 --> 00:04:49]  好像跟我们现在每一天早上塞个包子
[00:04:49 --> 00:04:50]  洗地铁的牛马是一个意思
[00:04:50 --> 00:04:52]  那么早餐最重要
[00:04:52 --> 00:04:54]  这句话是什么时候冒出来的呢
[00:04:54 --> 00:04:57]  1847年有一个医生开始鼓吹早餐的重要性
[00:04:57 --> 00:04:58]  这个人叫做罗伯逊
[00:04:58 --> 00:05:00]  在英国一个小城里面行医
[00:05:00 --> 00:05:02]  他的理由是这样子的
[00:05:02 --> 00:05:03]  人睡了一觉,体液流失了
[00:05:03 --> 00:05:05]  得靠早餐来补回来
[00:05:05 --> 00:05:06]  脑子熬了一夜也累了
[00:05:06 --> 00:05:08]  得靠早餐顶上
[00:05:08 --> 00:05:11]  说白了,这个理论一听就是古希腊那一套四体学说
[00:05:11 --> 00:05:14]  再加上这个人的凭空想象给揉出来的
[00:05:14 --> 00:05:15]  那到了二十世纪的时候
[00:05:15 --> 00:05:17]  又出来一个营养学家叫做戴维斯
[00:05:17 --> 00:05:19]  他有一句话你大概也听过
[00:05:19 --> 00:05:21]  叫早餐要像国王那样吃
[00:05:21 --> 00:05:23]  午餐要像贵族那样吃
[00:05:23 --> 00:05:25]  晚餐要像平民那样吃
[00:05:25 --> 00:05:26]  可这话其实没有什么依据
[00:05:26 --> 00:05:28]  那戴维斯是借着美国人战后
[00:05:28 --> 00:05:30]  对那股低血糖的恐惧
[00:05:30 --> 00:05:32]  来把这句口号给推出去的
[00:05:32 --> 00:05:35]  听着科学其实没有太多实际的证据
[00:05:35 --> 00:05:37]  真正把早餐做成生意的是凯洛格
[00:05:37 --> 00:05:39]  这个人是搞大众健康运动的
[00:05:39 --> 00:05:40]  他发明了玉米片
[00:05:40 --> 00:05:41]  当早餐卖
[00:05:41 --> 00:05:44]  后来他的公司又往玉米片里面加糖
[00:05:44 --> 00:05:46]  就是今天在货架上还摆着的
[00:05:46 --> 00:05:47]  那个燕麦
[00:05:47 --> 00:05:50]  就是大名鼎鼎的加勒式燕麦片
[00:05:50 --> 00:05:51]  1917年的时候
[00:05:51 --> 00:05:53]  他家自己创办的一本健康杂志上
[00:05:53 --> 00:05:55]  就有人用最重要的一餐这句话
[00:05:55 --> 00:05:57]  来给自己家的麦片来做推销
[00:05:57 --> 00:05:59]  也就是说实际上凯洛格
[00:05:59 --> 00:06:00]  是为了卖燕麦片
[00:06:00 --> 00:06:02]  才会大力推广早餐文化
[00:06:02 --> 00:06:03]  接着上场的就是
[00:06:03 --> 00:06:05]  博内斯公关行业的祖师爷
[00:06:05 --> 00:06:08]  卖培根的比奇纳特公司雇了他
[00:06:08 --> 00:06:09]  他是怎么做营销的呢
[00:06:09 --> 00:06:12]  他没有马上去喊大家去快买培根
[00:06:12 --> 00:06:14]  而是动员了4000多名医生
[00:06:14 --> 00:06:15]  公开出来背书
[00:06:15 --> 00:06:17]  就是早餐就应该吃的最丰盛
[00:06:17 --> 00:06:18]  培根和鸡蛋在一起
[00:06:18 --> 00:06:19]  就是最好的选择
[00:06:19 --> 00:06:20]  报纸上一登
[00:06:20 --> 00:06:21]  培根卖爆
[00:06:21 --> 00:06:22]  一直到今天
[00:06:22 --> 00:06:23]  早上吃培根鸡蛋
[00:06:23 --> 00:06:24]  成了美国人的习惯
[00:06:24 --> 00:06:25]  一直持续到了今天
[00:06:25 --> 00:06:26]  关于博内斯
[00:06:26 --> 00:06:28]  这个人也有一个非常重要的背景
[00:06:28 --> 00:06:30]  就是大名鼎鼎的弗洛伊德
[00:06:30 --> 00:06:31]  精神分析心理学家
[00:06:31 --> 00:06:32]  博内斯他的妈妈
[00:06:32 --> 00:06:34]  是弗洛伊德的妹妹
[00:06:34 --> 00:06:36]  他的爸爸是弗洛伊德太太的亲哥哥
[00:06:36 --> 00:06:38]  所以弗洛伊德对他来说
[00:06:38 --> 00:06:39]  既是舅舅又是姑父
[00:06:39 --> 00:06:40]  双重亲戚
[00:06:40 --> 00:06:41]  所以我估计
[00:06:41 --> 00:06:42]  博内斯之所以能够成为
[00:06:42 --> 00:06:43]  公关行业的大佬
[00:06:43 --> 00:06:46]  就是因为他耳濡目染了弗洛伊德
[00:06:46 --> 00:06:47]  太懂心理学了
[00:06:47 --> 00:06:48]  到了1944年
[00:06:48 --> 00:06:49]  又有一家大的公司接着干
[00:06:49 --> 00:06:52]  卖这个葡萄坚果卖片的通用食品
[00:06:52 --> 00:06:54]  发起了一场全国的大营销
[00:06:54 --> 00:06:55]  广告词喊的就是
[00:06:55 --> 00:06:56]  吃顿好早餐
[00:06:56 --> 00:06:58]  活干的更漂亮
[00:06:58 --> 00:06:59]  电台报纸杂志一起上
[00:06:59 --> 00:07:02]  这次图的还是多卖几盒燕麦片
[00:07:02 --> 00:07:03]  可以说关于早餐该不该吃
[00:07:03 --> 00:07:04]  怎么吃
[00:07:04 --> 00:07:05]  钱在哪
[00:07:05 --> 00:07:06]  话就往哪说
[00:07:06 --> 00:07:07]  到了2012年
[00:07:07 --> 00:07:08]  光全球的古早餐
[00:07:08 --> 00:07:11]  就有325亿美元这么大的市场
[00:07:11 --> 00:07:12]  这么大的一门生意
[00:07:12 --> 00:07:13]  背后当然有人盯着
[00:07:13 --> 00:07:14]  前面我们提到的
[00:07:14 --> 00:07:15]  不吃早餐的作者
[00:07:15 --> 00:07:16]  鸡来
[00:07:16 --> 00:07:17]  他还去翻了一笔账
[00:07:17 --> 00:07:19]  就是在学术库里面
[00:07:19 --> 00:07:21]  关于早餐的很多研究论文
[00:07:21 --> 00:07:22]  都拿了凯洛格
[00:07:22 --> 00:07:22]  雀巢
[00:07:22 --> 00:07:24]  这些食品巨头的钱
[00:07:24 --> 00:07:25]  拿了钱的研究
[00:07:25 --> 00:07:27]  结论往往都是朝金主爸爸
[00:07:27 --> 00:07:28]  有利的方向去走的
[00:07:28 --> 00:07:29]  所以我们先不聊
[00:07:29 --> 00:07:31]  早餐到底要不要吃
[00:07:31 --> 00:07:32]  关于早餐最重要
[00:07:32 --> 00:07:33]  这个观点
[00:07:33 --> 00:07:34]  它不是从身体里面长出来的
[00:07:34 --> 00:07:36]  实际上商业推动是功不可没的
[00:07:36 --> 00:07:38]  我们就把这条线捋到这
[00:07:38 --> 00:07:39]  我们再来看看
[00:07:39 --> 00:07:40]  鸡来在书里面
[00:07:40 --> 00:07:41]  专门点到的三个迷思
[00:07:41 --> 00:07:46]  我们来一个一个的拆开看
[00:07:46 --> 00:07:47]  第一个迷思就是
[00:07:47 --> 00:07:49]  古物早餐很健康
[00:07:49 --> 00:07:51]  其实它更接近你在吃甜点
[00:07:51 --> 00:07:53]  古早餐说到底主要是碳水
[00:07:53 --> 00:07:55]  做的时候还常常参加进了
[00:07:55 --> 00:07:56]  很多的糖
[00:07:56 --> 00:07:57]  鸡来说
[00:07:57 --> 00:07:58]  市面上绝大多数
[00:07:58 --> 00:07:59]  给孩子的燕麦片
[00:07:59 --> 00:08:00]  含糖都非常高
[00:08:00 --> 00:08:01]  麻烦的还在后面
[00:08:01 --> 00:08:03]  一粒古物养分
[00:08:03 --> 00:08:04]  都集中在胚芽
[00:08:04 --> 00:08:05]  就是发芽的那个芽间
[00:08:05 --> 00:08:06]  人体需要的
[00:08:06 --> 00:08:07]  脂肪
[00:08:07 --> 00:08:08]  有一种叫做烟酸的维生素
[00:08:08 --> 00:08:10]  都藏在这一小块的组织里面
[00:08:10 --> 00:08:11]  但是呢
[00:08:11 --> 00:08:12]  这块芽间含油
[00:08:12 --> 00:08:13]  放久了会坏
[00:08:13 --> 00:08:14]  影响保质期
[00:08:14 --> 00:08:16]  于是加工的时候呢
[00:08:16 --> 00:08:17]  厂家干脆就把它剔掉了
[00:08:17 --> 00:08:17]  扔掉
[00:08:17 --> 00:08:19]  扔了之后又怕没有营养
[00:08:19 --> 00:08:22]  再人工把这些维生素和铁给补回来
[00:08:22 --> 00:08:22]  一加一减
[00:08:22 --> 00:08:23]  麻烦的就来了
[00:08:23 --> 00:08:24]  补的时候不好控制量
[00:08:24 --> 00:08:26]  烟酸可能会补过头
[00:08:26 --> 00:08:27]  铁也有可能会加太多
[00:08:27 --> 00:08:29]  那多到有中毒的风险
[00:08:29 --> 00:08:30]  所以早上那晚
[00:08:30 --> 00:08:31]  看着挺健康的燕麦片
[00:08:31 --> 00:08:34]  是先把天然的营养扔了
[00:08:34 --> 00:08:35]  再撒一把人工的进去
[00:08:35 --> 00:08:36]  撒多撒少
[00:08:36 --> 00:08:38]  全凭良心和技术
[00:08:38 --> 00:08:39]  那第二个迷思就是
[00:08:39 --> 00:08:40]  吃早餐能补脑
[00:08:40 --> 00:08:41]  那这个查下去呢
[00:08:41 --> 00:08:42]  其实也没有因果
[00:08:42 --> 00:08:44]  有人把1950年到2008年的
[00:08:44 --> 00:08:46]  很多研究合在一起看
[00:08:46 --> 00:08:46]  结论就是
[00:08:46 --> 00:08:48]  吃早餐好像只对
[00:08:48 --> 00:08:49]  贫困家庭的孩子有点用
[00:08:49 --> 00:08:51]  就是能够让他们学习成绩更好一点
[00:08:51 --> 00:08:52]  注意啊
[00:08:52 --> 00:08:53]  是贫困家庭的孩子
[00:08:53 --> 00:08:54]  换成吃得饱的孩子
[00:08:54 --> 00:08:55]  这点用啊
[00:08:55 --> 00:08:56]  就看不太出来了
[00:08:56 --> 00:08:57]  而且这一点好处啊
[00:08:57 --> 00:09:00]  未必是脑子非得要早上的那顿热量
[00:09:00 --> 00:09:01]  更可能的是另外一回事
[00:09:01 --> 00:09:03]  就是学校提供了免费的早餐
[00:09:03 --> 00:09:05]  把孩子吸引到学校
[00:09:05 --> 00:09:06]  那天他就不会旷课
[00:09:06 --> 00:09:08]  那成绩自然就跟着好看了
[00:09:08 --> 00:09:09]  是来上学带来的
[00:09:09 --> 00:09:10]  不是那口饭带来的
[00:09:10 --> 00:09:12]  那这是观察到的观念性啊
[00:09:12 --> 00:09:14]  不能说早餐就可以直接补脑子
[00:09:14 --> 00:09:16]  至于成年人
[00:09:16 --> 00:09:18]  靠吃早餐来让脑子更好使
[00:09:18 --> 00:09:19]  那证据就更少了
[00:09:19 --> 00:09:20]  第三个迷思就是
[00:09:20 --> 00:09:21]  吃早餐能够减肥
[00:09:21 --> 00:09:23]  那这个不光不成立
[00:09:23 --> 00:09:23]  还反了
[00:09:23 --> 00:09:24]  最常听到的说法就是
[00:09:24 --> 00:09:25]  早餐让你饱
[00:09:25 --> 00:09:27]  饱了后面就会少吃
[00:09:27 --> 00:09:28]  这个说法是错的
[00:09:28 --> 00:09:29]  康奈亚大学做过一个研究啊
[00:09:29 --> 00:09:31]  就是早餐多吃350大卡
[00:09:31 --> 00:09:32]  到了午饭的时候
[00:09:32 --> 00:09:34]  人并没有因此而少吃
[00:09:34 --> 00:09:35]  照样吃那么多
[00:09:35 --> 00:09:36]  一天算下来
[00:09:36 --> 00:09:38]  就是白白多进了350大卡
[00:09:38 --> 00:09:39]  你以为多吃的那一顿
[00:09:39 --> 00:09:40]  后面会减少
[00:09:40 --> 00:09:41]  那么身体呢
[00:09:41 --> 00:09:41]  没有给你补
[00:09:41 --> 00:09:42]  反过来啊
[00:09:42 --> 00:09:43]  那些不吃早餐的人
[00:09:43 --> 00:09:44]  全天的总摄入量
[00:09:44 --> 00:09:45]  往往是减少的
[00:09:45 --> 00:09:47]  所以拿早餐来当减肥的招
[00:09:47 --> 00:09:48]  多半是越减越肥
[00:09:48 --> 00:09:48]  所以啊
[00:09:48 --> 00:09:49]  说到这儿
[00:09:49 --> 00:09:49]  吃不吃早餐
[00:09:49 --> 00:09:50]  我们姑且不讨论
[00:09:50 --> 00:09:52]  单纯早餐最重要
[00:09:52 --> 00:09:53]  以及早餐一定要吃
[00:09:53 --> 00:09:54]  这么丰盛的这种说法呢
[00:09:54 --> 00:09:55]  已经被扒得差不多了
[00:09:55 --> 00:09:56]  它不是科学
[00:09:56 --> 00:09:57]  它是生意
[00:09:57 --> 00:09:58]  那么积来这本书的
[00:09:58 --> 00:09:59]  另外一个结论
[00:09:59 --> 00:10:00]  早餐是危险的
[00:10:00 --> 00:10:02]  这半句靠不靠谱呢
[00:10:02 --> 00:10:03]  这半句最终会决定
[00:10:03 --> 00:10:05]  我们到底要不要吃早餐
[00:10:05 --> 00:10:06]  那这就不能听谁来喊了
[00:10:06 --> 00:10:07]  得钻到身体里面
[00:10:07 --> 00:10:09]  看早上的那顿饭
[00:10:09 --> 00:10:10]  到底发生了什么
[00:10:10 --> 00:10:11]  我们先说血糖是怎么回事
[00:10:11 --> 00:10:13]  你吃的米啊
[00:10:13 --> 00:10:13]  面啊
[00:10:13 --> 00:10:14]  糖啊
[00:10:14 --> 00:10:14]  消化完之后
[00:10:14 --> 00:10:15]  会变成葡萄糖
[00:10:15 --> 00:10:16]  进入血里面
[00:10:16 --> 00:10:17]  这就是血糖
[00:10:17 --> 00:10:18]  血糖不能高
[00:10:18 --> 00:10:20]  长期高会破坏血管
[00:10:20 --> 00:10:21]  心梗中风
[00:10:21 --> 00:10:22]  以及很多糖尿病的冰发症
[00:10:22 --> 00:10:23]  就这么来的
[00:10:23 --> 00:10:24]  所以血糖一高
[00:10:24 --> 00:10:26]  身体就得把它压下去
[00:10:26 --> 00:10:27]  那压血糖靠的是胰岛素
[00:10:27 --> 00:10:29]  胰岛素是一线分泌的
[00:10:29 --> 00:10:30]  血糖一高
[00:10:30 --> 00:10:31]  一线就会释放胰岛素
[00:10:31 --> 00:10:32]  把血里面的糖
[00:10:32 --> 00:10:34]  赶到细胞里面
[00:10:34 --> 00:10:35]  那血糖就会降下来
[00:10:35 --> 00:10:35]  可有的时候
[00:10:35 --> 00:10:36]  这道系统会不灵
[00:10:36 --> 00:10:38]  就是胰岛素照样放出来了
[00:10:38 --> 00:10:39]  糖却不进细胞
[00:10:39 --> 00:10:41]  堆在血里面降不下来
[00:10:41 --> 00:10:42]  那这就叫胰岛素抵抗
[00:10:42 --> 00:10:43]  好了
[00:10:43 --> 00:10:44]  我们回到积来那个问题
[00:10:44 --> 00:10:46]  为什么偏偏早上
[00:10:46 --> 00:10:47]  这种情况更明显呢
[00:10:47 --> 00:10:47]  吃完早饭
[00:10:47 --> 00:10:49]  为什么血糖蹦得更快更高呢
[00:10:49 --> 00:10:51]  那这就得说一个重要的概念
[00:10:51 --> 00:10:52]  叫黎明现象
[00:10:52 --> 00:10:53]  天没亮
[00:10:53 --> 00:10:53]  你还没醒
[00:10:53 --> 00:10:55]  身体其实就已经开始
[00:10:55 --> 00:10:56]  用激素来叫你起床了
[00:10:56 --> 00:10:58]  夜里面的生长激素
[00:10:58 --> 00:10:59]  清晨的皮质醇
[00:10:59 --> 00:11:00]  还有肾上腺素
[00:11:00 --> 00:11:01]  这几种激素干两件事
[00:11:01 --> 00:11:02]  第一就是让你的肝脏
[00:11:02 --> 00:11:05]  把存的糖放一批进入到血里面
[00:11:05 --> 00:11:06]  所以你没吃东西
[00:11:06 --> 00:11:07]  天快亮
[00:11:07 --> 00:11:08]  血糖就会自己上来
[00:11:08 --> 00:11:09]  这是给你起床用的
[00:11:09 --> 00:11:10]  那第二就是让细胞
[00:11:10 --> 00:11:12]  暂时对胰岛素不敏感
[00:11:12 --> 00:11:14]  让这批糖留在血里面
[00:11:14 --> 00:11:15]  而不是储存起来
[00:11:17 --> 00:11:19]  一线大不了再多释放一些胰岛素
[00:11:19 --> 00:11:19]  给它压回去
[00:11:19 --> 00:11:21]  血糖就不变了
[00:11:21 --> 00:11:21]  但积来不一样
[00:11:21 --> 00:11:23]  他是一个糖尿病的病人
[00:11:23 --> 00:11:24]  一线释放出来的胰岛素
[00:11:24 --> 00:11:25]  本来就不够
[00:11:25 --> 00:11:26]  天亮血糖已经升上来了
[00:11:26 --> 00:11:27]  一线压不住
[00:11:27 --> 00:11:28]  那他在这个时候
[00:11:28 --> 00:11:29]  再吃一碗燕麦粥
[00:11:29 --> 00:11:31]  那血糖就会直接冲上天
[00:11:31 --> 00:11:32]  但记住
[00:11:32 --> 00:11:33]  这是糖尿病病人的事
[00:11:33 --> 00:11:35]  黎明现象人人都有
[00:11:35 --> 00:11:36]  可健康人有一线压着
[00:11:36 --> 00:11:37]  根本就没事
[00:11:37 --> 00:11:39]  积来看到的也是真的
[00:11:39 --> 00:11:41]  但是他是一个糖尿病病人的情况
[00:11:41 --> 00:11:43]  那积来自己最后干脆不吃早餐
[00:11:43 --> 00:11:44]  对不对呢
[00:11:44 --> 00:11:45]  前面我们说过
[00:11:45 --> 00:11:47]  这段说法最早是他一个人测出来的
[00:11:47 --> 00:11:49]  但他的书里面还搬了别人的研究
[00:11:49 --> 00:11:51]  是丹麦的克里斯蒂安森团队做的
[00:11:51 --> 00:11:52]  在2011年的时候
[00:11:52 --> 00:11:53]  研究的标题是
[00:11:53 --> 00:11:56]  是不是所有的二线糖尿病的病人
[00:11:56 --> 00:11:56]  都得吃早餐
[00:11:56 --> 00:11:59]  他们找了13个二线糖尿病的病人
[00:11:59 --> 00:12:01]  盯着他们吃早餐和不吃早餐
[00:12:01 --> 00:12:03]  一整天他的血糖是怎么走的
[00:12:03 --> 00:12:03]  结果呢
[00:12:03 --> 00:12:05]  吃早餐的那一天
[00:12:05 --> 00:12:06]  血糖被早餐顶上去一截
[00:12:06 --> 00:12:08]  不吃早餐的那一天
[00:12:08 --> 00:12:09]  这些人虽然把没吃到的那顿
[00:12:09 --> 00:12:10]  补到了午饭和晚饭
[00:12:10 --> 00:12:12]  后面也会吃的更多
[00:12:12 --> 00:12:13]  但是他们一整天的血糖
[00:12:13 --> 00:12:15]  反而会更平更稳
[00:12:15 --> 00:12:16]  上下的波动小了差不多三成
[00:12:16 --> 00:12:17]  接下来呢
[00:12:17 --> 00:12:18]  就是拿到了这个证据
[00:12:18 --> 00:12:20]  说哎你看不吃早餐血糖更稳
