# 《一红16年，干啥啥赚钱？｜屠龙博士创业的秘密！》— 原始转录

> **节目**：课代表立正（B站 UP 主，UID 491306902）对谈 **屠龙博士**
> **来源**：B站 · BV1krM46BEpn · 发布 2026-07-07
> **时长**：1h35m18s（5718 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 被 B站 412 反爬拦截）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 4,502 段 / 32,090 汉字 / 语速 337 字/min
> **校验源**：B站官方字幕（2,860 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:01]  有一个网红偷我们的用户讯息
[00:02:50 --> 00:02:50]  我看了一本书
[00:02:50 --> 00:02:51]  叫脑机穿越
[00:02:51 --> 00:02:53]  其实我这博士
[00:02:53 --> 00:02:54]  跟脑机接口
[00:02:54 --> 00:02:55]  是八竿子打不着的
[00:02:55 --> 00:02:56]  但是因为
[00:02:56 --> 00:02:56]  我想干脑机接口
[00:02:56 --> 00:02:58]  我就去给人家
[00:02:58 --> 00:02:59]  老师那敲门去了
[00:02:59 --> 00:03:00]  就是没有投简历
[00:03:00 --> 00:03:01]  没有写证
[00:03:01 --> 00:03:02]  我直接冲了他办公室
[00:03:02 --> 00:03:04]  讲我要干脑机接口
[00:03:04 --> 00:03:05]  我运用office offer
[00:03:05 --> 00:03:05]  对
[00:03:05 --> 00:03:07]  都没有运用office offer
[00:03:07 --> 00:03:08]  就直接去他办公室
[00:03:08 --> 00:03:09]  堵着他聊
[00:03:09 --> 00:03:10]  这个是第一个波后
[00:03:10 --> 00:03:11]  第二个波后呢
[00:03:11 --> 00:03:13]  我们后来给DARPA做项目是
[00:03:13 --> 00:03:14]  不仅是解运动
[00:03:14 --> 00:03:15]  因为那时候
[00:03:15 --> 00:03:16]  我觉得解运动太低位了
[00:03:16 --> 00:03:17]  所以我们开始解语言
[00:03:17 --> 00:03:18]  和高级概念
[00:03:18 --> 00:03:20]  这儿一直干到17年
[00:03:20 --> 00:03:21]  17年川普1.0
[00:03:21 --> 00:03:23]  我当时想的一个问题就是
[00:03:23 --> 00:03:25]  这个世界其实要脱钩了
[00:03:25 --> 00:03:26]  这个其实在16年
[00:03:26 --> 00:03:27]  大家都很明显
[00:03:27 --> 00:03:29]  以前是有一个全球化浪潮
[00:03:29 --> 00:03:30]  地球是一个村
[00:03:30 --> 00:03:31]  但是后边就脱钩了
[00:03:31 --> 00:03:33]  美国和西方体系
[00:03:33 --> 00:03:35]  逐渐地与中国脱离
[00:03:35 --> 00:03:36]  我认为啊
[00:03:36 --> 00:03:36]  我认为
[00:03:36 --> 00:03:36]  对
[00:03:37 --> 00:03:37]  请问了
[00:03:37 --> 00:03:40]  现在我觉得这件事是很明显
[00:03:40 --> 00:03:41]  在16年的时候
[00:03:41 --> 00:03:42]  大家有的时候会觉得
[00:03:42 --> 00:03:44]  川普只不过是一个偶然事件
[00:03:44 --> 00:03:46]  或者说就是大方向向好
[00:03:46 --> 00:03:48]  但是只不过是一个波动
[00:03:48 --> 00:03:50]  我觉得20年能看清楚的人
[00:03:50 --> 00:03:51]  已经很厉害了
[00:03:51 --> 00:03:52]  你16年怎么看清楚的
[00:03:52 --> 00:03:54]  我觉得16年的时候
[00:03:54 --> 00:03:56]  我在网上说了很多次
[00:03:56 --> 00:03:57]  川普要赢
[00:03:57 --> 00:03:58]  很多很多人都反对我
[00:03:58 --> 00:04:00]  而且很多很多人都说
[00:04:00 --> 00:04:01]  我是小粉红
[00:04:01 --> 00:04:03]  但是我说川普要赢
[00:04:03 --> 00:04:04]  这个事不是我是粉红
[00:04:04 --> 00:04:05]  或者我是妈嘎
[00:04:05 --> 00:04:06]  是我觉得客观
[00:04:06 --> 00:04:06]  太多了
[00:04:07 --> 00:04:07]  他要赢
[00:04:07 --> 00:04:07]  为什么
[00:04:07 --> 00:04:10]  因为我觉得大多数华人
[00:04:10 --> 00:04:12]  是住在加州或者纽约
[00:04:12 --> 00:04:14]  就是你是蓝大本营
[00:04:14 --> 00:04:15]  然后我住在宾州
[00:04:15 --> 00:04:16]  本身是个摇摆州
[00:04:16 --> 00:04:17]  大家理解吧
[00:04:17 --> 00:04:18]  就是有蓝的有红的
[00:04:18 --> 00:04:20]  我们住匹兹堡
[00:04:20 --> 00:04:21]  匹兹堡原本是深蓝区
[00:04:21 --> 00:04:23]  就是属于
[00:04:23 --> 00:04:25]  你不可能看见民主党的地面部队
[00:04:25 --> 00:04:26]  来匹兹堡的
[00:04:26 --> 00:04:28]  因为匹兹堡的人
[00:04:28 --> 00:04:30]  他不需要民主党的地面部队
[00:04:30 --> 00:04:31]  他们就会选民主党
[00:04:31 --> 00:04:32]  大概16年
[00:04:32 --> 00:04:33]  首先一个很奇怪现象
[00:04:33 --> 00:04:34]  就是民主党地面部队
[00:04:34 --> 00:04:35]  退守到匹兹堡了
[00:04:35 --> 00:04:36]  就是敲门
[00:04:36 --> 00:04:38]  这个是可能在这个
[00:04:38 --> 00:04:40]  加州或者纽约的一些华人
[00:04:40 --> 00:04:41]  不知道的
[00:04:41 --> 00:04:41]  第二个就是
[00:04:41 --> 00:04:43]  我还有一个得天独厚的条件
[00:04:43 --> 00:04:44]  就是我们实验室
[00:04:44 --> 00:04:46]  不是接了DAPA的活吗
[00:04:46 --> 00:04:48]  ILPA反正就是美军的活
[00:04:48 --> 00:04:49]  所以有的时候
[00:04:49 --> 00:04:50]  我们得去华盛顿汇报
[00:04:50 --> 00:04:52]  匹兹堡到华盛顿
[00:04:52 --> 00:04:53]  开车只有四个小时
[00:04:53 --> 00:04:53]  然后呢
[00:04:53 --> 00:04:56]  我都是开高速公路过去
[00:04:56 --> 00:04:57]  汇报完了以后
[00:04:57 --> 00:04:59]  我从华盛顿回匹兹堡
[00:04:59 --> 00:05:00]  我开乡间小路
[00:05:00 --> 00:05:02]  开乡间小路的原因
[00:05:02 --> 00:05:04]  倒不是因为什么政治原因
[00:05:04 --> 00:05:06]  而是因为我觉得
[00:05:06 --> 00:05:08]  有些美国农村的那些饭
[00:05:08 --> 00:05:09]  我在城市吃不着
[00:05:09 --> 00:05:11]  有些大爷大妈说的饭挺好吃的
[00:05:11 --> 00:05:13]  所以我就会从华盛顿到匹兹堡
[00:05:13 --> 00:05:16]  绕很多线去吃他们的美食
[00:05:16 --> 00:05:17]  因为我一个月得去一次
[00:05:17 --> 00:05:19]  然后头几次去汇报
[00:05:19 --> 00:05:19]  我绕到村里以后
[00:05:19 --> 00:05:22]  发现村里到处都是川普的牌子
[00:05:22 --> 00:05:23]  到处都是
[00:05:23 --> 00:05:25]  这时候我就到他们村里的小酒馆
[00:05:25 --> 00:05:26]  小饭馆吃饭的时候
[00:05:26 --> 00:05:28]  我就跟当地的大爷大妈们搭话
[00:05:28 --> 00:05:29]  我就开始记录数据
[00:05:29 --> 00:05:32]  我发现我聊了得有50个大爷大妈
[00:05:32 --> 00:05:34]  我只记得有一个人说会选希拉里
[00:05:34 --> 00:05:35]  其他都选川普
[00:05:35 --> 00:05:36]  就是在
[00:05:36 --> 00:05:36]  一个农村
[00:05:36 --> 00:05:37]  那我就想
[00:05:37 --> 00:05:39]  第二次我去华盛顿汇报
[00:05:39 --> 00:05:41]  我说那我换个农村去吃饭
[00:05:41 --> 00:05:42]  回来的路上
[00:05:42 --> 00:05:43]  我想看看
[00:05:43 --> 00:05:45]  其他村是不是跟这个村是一样的
[00:05:45 --> 00:05:46]  然后我把宾州
[00:05:46 --> 00:05:49]  从华盛顿到匹兹堡周围的
[00:05:49 --> 00:05:50]  这些农村全跑了一遍
[00:05:50 --> 00:05:52]  发现跟我说会选希拉里的人
[00:05:52 --> 00:05:53]  我手指都咳嗽
[00:05:53 --> 00:05:56]  因此我当时就想除了大城市
[00:05:56 --> 00:05:57]  宾州的整个农村都陷落了
[00:05:57 --> 00:06:00]  我当时跟所有的人都说这个问题
[00:06:00 --> 00:06:01]  然后我所有的朋友都说
[00:06:01 --> 00:06:03]  Nate Silver搞了那个538的网站
[00:06:03 --> 00:06:04]  什么这那的
[00:06:04 --> 00:06:06]  这个538的网站
[00:06:06 --> 00:06:07]  说希拉里的盈利有多高
[00:06:07 --> 00:06:09]  我觉得不是
[00:06:09 --> 00:06:11]  我觉得我自己的一手数据是很重要的
[00:06:11 --> 00:06:12]  因为我们宾州是浅蓝州
[00:06:12 --> 00:06:14]  是会flip over的
[00:06:14 --> 00:06:16]  如果宾州这么大浅蓝州都flip over了
[00:06:16 --> 00:06:17]  那后边的问题会很大的
[00:06:17 --> 00:06:21]  所以16年这个事对我来说很明显
[00:06:21 --> 00:06:23]  但是我不知道为什么大家觉得不明显
[00:06:23 --> 00:06:24]  因为你有实际调查
[00:06:24 --> 00:06:26]  大家觉得都说还是坐在家里面
[00:06:26 --> 00:06:27]  没有实际调查
[00:06:27 --> 00:06:28]  但是我这就捕捉到两个特质
[00:06:28 --> 00:06:29]  第一个特质就是
[00:06:29 --> 00:06:31]  你会主动的去跟大爷大妈聊天
[00:06:31 --> 00:06:32]  就是你这个好奇心
[00:06:32 --> 00:06:34]  再加上你的这个聊天的主动性
[00:06:34 --> 00:06:36]  就是我可能有这个好奇心
[00:06:36 --> 00:06:38]  但是我可能好懒得跟她们聊天
[00:06:38 --> 00:06:39]  第二个就是
[00:06:39 --> 00:06:40]  有的人可能有这个聊天的能力
[00:06:40 --> 00:06:42]  但是他不会去记录数据
[00:06:42 --> 00:06:43]  你还把这个东西记下来了
[00:06:43 --> 00:06:44]  我记下来了
[00:06:44 --> 00:06:45]  记下来了
[00:06:45 --> 00:06:46]  是一个天生的吗
[00:06:46 --> 00:06:47]  对我只是对这个事好奇
[00:06:47 --> 00:06:52]  因为我觉得这个事会改变我们的命运
[00:06:52 --> 00:06:53]  我特别喜欢一句话
[00:06:53 --> 00:06:55]  有一本书叫黑天鹅
[00:06:55 --> 00:06:56]  The Black Swan
[00:06:56 --> 00:06:57]  作者大家都知道
[00:06:57 --> 00:06:59]  Nissim Tila
[00:06:59 --> 00:07:00]  他应该是叙利亚人
[00:07:00 --> 00:07:01]  我应该没念错
[00:07:01 --> 00:07:01]  他叫Tila
[00:07:01 --> 00:07:03]  非常非常牛的思想家
[00:07:03 --> 00:07:05]  他在黑天鹅里写了一句话
[00:07:05 --> 00:07:06]  我特别认同
[00:07:06 --> 00:07:06]  他说
[00:07:06 --> 00:07:08]  History doesn't crawl
[00:07:08 --> 00:07:09]  It jumps
[00:07:09 --> 00:07:11]  历史不是会爬行的
[00:07:11 --> 00:07:12]  它会跳跃
[00:07:12 --> 00:07:14]  就是它不是线性的
[00:07:14 --> 00:07:15]  这么一点一点往前
[00:07:15 --> 00:07:17]  它是平了一段时间
[00:07:17 --> 00:07:17]  哗跳一下
[00:07:17 --> 00:07:18]  平了一段时间
[00:07:18 --> 00:07:19]  哗跳一下
[00:07:19 --> 00:07:20]  所以我觉得
[00:07:20 --> 00:07:22]  川普他不是一个现象
[00:07:22 --> 00:07:25]  他是美国很多很多事情的一个结果
[00:07:25 --> 00:07:26]  中间的很多很多事情
[00:07:26 --> 00:07:27]  发生之后
[00:07:27 --> 00:07:29]  川普上台是一个结果
[00:07:29 --> 00:07:29]  他不是原因
[00:07:29 --> 00:07:31]  而川普上台不上台
[00:07:31 --> 00:07:33]  他底下那些原因是没有变化的
[00:07:33 --> 00:07:34]  所以我觉得
[00:07:34 --> 00:07:35]  中国和美国
[00:07:35 --> 00:07:37]  他一定会逐渐脱离的
[00:07:37 --> 00:07:38]  他不像以前是
[00:07:38 --> 00:07:41]  大家可以在中间做一些全球化的生意
[00:07:41 --> 00:07:43]  我把美国的信息服务
[00:07:43 --> 00:07:44]  或者是产品导到中国
[00:07:44 --> 00:07:46]  我把中国的信息产品服务导到美国
[00:07:46 --> 00:07:47]  我就可以挣钱
[00:07:47 --> 00:07:49]  而是他逐渐会脱离成两个体系
[00:07:49 --> 00:07:50]  然后我当时就想
[00:07:50 --> 00:07:51]  我要不要海归
[00:07:51 --> 00:07:52]  如果不海归的话
[00:07:52 --> 00:07:54]  有可能永远留在美国
[00:07:54 --> 00:07:54]  然后呢
[00:07:54 --> 00:07:55]  我海归的话
[00:07:55 --> 00:07:55]  就趁现在
[00:07:55 --> 00:07:57]  当时写了一个帖子
[00:07:57 --> 00:07:57]  我说
[00:07:57 --> 00:07:59]  我最后还是决定海归的原因是
[00:07:59 --> 00:08:03]  我说我短期不想面对中国的问题
[00:08:03 --> 00:08:05]  我长期不想面对美国的问题
[00:08:05 --> 00:08:08]  短期不想面对中国的问题的意思就是
[00:08:08 --> 00:08:09]  回国当时有很多问题
[00:08:09 --> 00:08:11]  现在可能有一些部分解决了
[00:08:11 --> 00:08:13]  比如说房价很高
[00:08:13 --> 00:08:15]  比如说污染挺严重的
[00:08:15 --> 00:08:16]  比如说内卷
[00:08:16 --> 00:08:18]  比如说同质化竞争
[00:08:18 --> 00:08:19]  比如说不鼓励创新
[00:08:19 --> 00:08:20]  大家都抄袭
[00:08:20 --> 00:08:21]  这些问题在你海归的时候
[00:08:21 --> 00:08:23]  短期是一定会出现的
[00:08:23 --> 00:08:24]  头几年肯定很难
[00:08:24 --> 00:08:27]  但是长期留在美国有个问题
[00:08:27 --> 00:08:28]  长期的问题是
[00:08:28 --> 00:08:31]  我认为我在美国是有天花板的
[00:08:31 --> 00:08:32]  这个天花板是很难突破的
[00:08:32 --> 00:08:34]  这个天花板我怎么知道很难突破呢
[00:08:34 --> 00:08:34]  因为
[00:08:35 --> 00:08:36]  我在做博客的时候
[00:08:36 --> 00:08:37]  调研了我们周边几个大学
[00:08:37 --> 00:08:39]  简单来说就是匹兹堡大学
[00:08:39 --> 00:08:40]  卡内基梅隆
[00:08:40 --> 00:08:41]  还有Chasm
[00:08:41 --> 00:08:42]  还有很多很多学校
[00:08:42 --> 00:08:44]  周围的所有的华人教授
[00:08:44 --> 00:08:44]  我都调研了
[00:08:44 --> 00:08:45]  因为我那时候做research
[00:08:45 --> 00:08:46]  我调研了之后
[00:08:46 --> 00:08:49]  我发现中国教授好几百人
[00:08:49 --> 00:08:51]  中国教授做到chair的
[00:08:51 --> 00:08:52]  department chair的
[00:08:52 --> 00:08:53]  只有仨人
[00:08:53 --> 00:08:55]  中国教授做到定的
[00:08:55 --> 00:08:56]  只有一个人
[00:08:56 --> 00:08:57]  这么多大学
[00:08:57 --> 00:08:59]  中国教授做到校长的
[00:08:59 --> 00:08:59]  一个都没有
[00:08:59 --> 00:09:00]  而且他们
[00:09:00 --> 00:09:01]  我调查的是
[00:09:01 --> 00:09:03]  凡是长得像中国人的都算
[00:09:03 --> 00:09:04]  就是ABC都算上
[00:09:04 --> 00:09:05]  所以我发现
[00:09:05 --> 00:09:06]  中国人天花板就是
[00:09:06 --> 00:09:07]  full professor
[00:09:07 --> 00:09:10]  如果你留在美国
[00:09:10 --> 00:09:11]  好好做research的话
[00:09:11 --> 00:09:12]  你做的一切都特别好
[00:09:12 --> 00:09:14]  你的天花板就是full professor
[00:09:14 --> 00:09:14]  所以我就想
[00:09:14 --> 00:09:16]  那我这一辈子是这样子吗
[00:09:16 --> 00:09:17]  所以我就觉得说
[00:09:17 --> 00:09:19]  那我还是得试试看
[00:09:19 --> 00:09:20]  能不能解决这些短期问题
[00:09:20 --> 00:09:22]  如果万一不行的话
[00:09:22 --> 00:09:23]  我还能深个工作
[00:09:23 --> 00:09:24]  再爬回美国
[00:09:24 --> 00:09:26]  因为毕竟我的PSD是美国的
[00:09:26 --> 00:09:27]  我觉得你的这个思维
[00:09:27 --> 00:09:29]  都特别的战略
[00:09:29 --> 00:09:30]  关键背后看得都特别的清楚
[00:09:30 --> 00:09:33]  我觉得很少有人会这么想
[00:09:33 --> 00:09:34]  更不要提调研和
[00:09:34 --> 00:09:37]  找到那个确证的证据
[00:09:37 --> 00:09:39]  然后再改下一个
[00:09:39 --> 00:09:41]  跟别人都不一样的决定
[00:09:41 --> 00:09:42]  这个是怎么来的
[00:09:42 --> 00:09:43]  你是说
[00:09:43 --> 00:09:45]  调研这个东西的能力吗
[00:09:45 --> 00:09:46]  我觉得是
[00:09:46 --> 00:09:47]  人设的能力
[00:09:47 --> 00:09:48]  把东西看得这么清楚
[00:09:48 --> 00:09:50]  包括你在播客里面
[00:09:50 --> 00:09:51]  包括屠龙大师话
[00:09:51 --> 00:09:52]  就是为什么要讲实话
[00:09:52 --> 00:09:53]  因为你东西看得太清楚了
[00:09:53 --> 00:09:54]  这个是怎么来的
[00:09:54 --> 00:09:55]  或者说你觉得
[00:09:55 --> 00:09:57]  什么时候你开始看得很清楚了
[00:09:57 --> 00:09:59]  虽然很多人跟我这么说
[00:09:59 --> 00:10:00]  但是我并不觉得
[00:10:00 --> 00:10:02]  我的思维异于常人
[00:10:02 --> 00:10:03]  我觉得它是一个
[00:10:03 --> 00:10:04]  逐渐训练的过程
[00:10:04 --> 00:10:05]  就像是AI
[00:10:05 --> 00:10:07]  它最后会呈现一个emergence
[00:10:07 --> 00:10:08]  我还有一点
[00:10:08 --> 00:10:10]  为什么要从美国回中国
[00:10:10 --> 00:10:11]  这是我的一点
[00:10:11 --> 00:10:11]  另一个
[00:10:11 --> 00:10:13]  为什么要从学术圈跳出来
[00:10:13 --> 00:10:14]  跳到工业界
[00:10:14 --> 00:10:15]  因为我已经做了两个波后
[00:10:15 --> 00:10:16]  而且那个时候
[00:10:16 --> 00:10:17]  我头几年做research
[00:10:17 --> 00:10:19]  是非常非常不顺利的
[00:10:19 --> 00:10:20]  在16年
[00:10:20 --> 00:10:21]  我决定要跳出那一年
[00:10:21 --> 00:10:23]  突然发生了一个非常顺利的事
[00:10:23 --> 00:10:25]  那就是我身上的NIH的R21
[00:10:25 --> 00:10:27]  大家如果深过这个东西
[00:10:27 --> 00:10:29]  都知道R21特别难生
[00:10:29 --> 00:10:31]  尤其对于年轻的research来说
[00:10:31 --> 00:10:33]  我老板那天都抱着我
[00:10:33 --> 00:10:34]  要把我抱起来
[00:10:34 --> 00:10:35]  虽然我个儿特别高
[00:10:35 --> 00:10:36]  你知道吗
[00:10:36 --> 00:10:37]  他就很激动
[00:10:37 --> 00:10:38]  他这一生没见过这样的事情
[00:10:38 --> 00:10:40]  所以我猜测
[00:10:40 --> 00:10:41]  如果我继续走下去的话
[00:10:41 --> 00:10:43]  我也能升到一个
[00:10:43 --> 00:10:44]  non-tenured track faculty
[00:10:44 --> 00:10:46]  或者是tenured track faculty
[00:10:46 --> 00:10:48]  我头几年升faculty的时候
[00:10:48 --> 00:10:50]  都遇到巨倒霉巨倒霉的事情
[00:10:50 --> 00:10:51]  就比如说我拿到offer
[00:10:51 --> 00:10:52]  offer被撤销了
[00:10:52 --> 00:10:54]  比如说我去了五个interview
[00:10:54 --> 00:10:56]  应该说至少有一个
[00:10:56 --> 00:10:57]  当professor的机会
[00:10:57 --> 00:10:59]  但是都因为各种各样的原因
[00:10:59 --> 00:11:00]  funding什么的不行了
[00:11:00 --> 00:11:01]  然后我老板就说
[00:11:01 --> 00:11:03]  你升一个NIH的funding
[00:11:03 --> 00:11:04]  你背着funding还能
[00:11:04 --> 00:11:06]  还能找不着教授的位置吗
[00:11:06 --> 00:11:07]  我真是认下来了
