# 原始转录（whisper.cpp 本地转写，未润色）
# 节目：屠龙之术（庄明浩单口）
# 单集：智能的下一幕，让人兴奋——73 页 PPT solo
# 平台：小宇宙 · 发布日期：2026-09-15 · 时长：55m21s（3320s）
# Pipeline：whisper.cpp / ggml-large-v3 / Metal / -l zh（scripts/transcribe.py）
# 段数：2009 · 汉字数：12452 · 语速约 225 字/min · 转写日期：2026-09-22（文件时间）
# 注意：中文无自动标点；人名/英文术语/数字有误识别（如 DeepSick→DeepSeek、SOPIC→Anthropic、欧贝青→欧倍青、BAT→bet，修正见同名 polished 稿）
# 版权：节目版权归主理人/制作方所有，仅供个人学习（见 ../../COPYRIGHT.md）

[00:01:27 -> 00:01:32] DMG中文叫二甲基肝氨酸
[00:01:32 -> 00:01:34] 它在这套配方里的作用
[00:01:34 -> 00:01:35] 是帮助促进头发洗发水的成分
[00:01:35 -> 00:01:36] 头皮微循环
[00:01:36 -> 00:01:39] 这个词听起来有点专业
[00:01:39 -> 00:01:40] 其实说白了
[00:01:40 -> 00:01:42] 就是头皮的血液循环
[00:01:42 -> 00:01:44] 头发从毛囊里长出来
[00:01:44 -> 00:01:47] 毛囊需要的氧气和养分
[00:01:47 -> 00:01:49] 都靠血液送过去
[00:01:49 -> 00:01:51] 如果头皮微循环不畅
[00:01:51 -> 00:01:53] 毛囊就相当于在饿肚子
[00:01:53 -> 00:01:54] 营养送不到
[00:01:54 -> 00:01:56] 发根自然就弱
[00:01:56 -> 00:01:58] 长出来的头发也容易细软脱落
[00:01:58 -> 00:02:02] 欧贝青DMG关注的就是这个环节
[00:02:02 -> 00:02:04] 帮助改善微循环
[00:02:04 -> 00:02:06] 让发根获得更好的营养支持
[00:02:06 -> 00:02:08] 跟它搭配的是欧贝青DMG
[00:02:08 -> 00:02:11] 大家比较熟悉的咖啡因
[00:02:11 -> 00:02:13] 帮助激活发根
[00:02:13 -> 00:02:17] 咖啡因和DMG组成专利协同配方
[00:02:17 -> 00:02:19] 一边支持发根活力
[00:02:19 -> 00:02:21] 一边改善供养条件
[00:02:21 -> 00:02:23] 这也是这次产品升级
[00:02:23 -> 00:02:25] 最值得了解的地方
[00:02:25 -> 00:02:29] 当然掉头发还得结合个人情况看原因
[00:02:29 -> 00:02:30] 对我来说
[00:02:30 -> 00:02:34] 研究洗发水是认真做日常头皮护理的一部分
[00:02:34 -> 00:02:37] 这瓶洗发水的用法也很明确
[00:02:37 -> 00:02:38] 按产品说明
[00:02:38 -> 00:02:41] 洗发时让它接触头皮
[00:02:41 -> 00:02:42] 停留两分钟
[00:02:42 -> 00:02:42] 然后洗发后
[00:02:42 -> 00:02:43] 再冲洗干净
[00:02:43 -> 00:02:47] 把头皮护理放进原本就要做的洗头这件事里
[00:02:47 -> 00:02:50] 对我来说是比较容易坚持的
[00:02:50 -> 00:02:52] 我现在的想法也很简单
[00:02:52 -> 00:02:54] 既然已经开始在意这件事
[00:02:54 -> 00:02:56] 就把每天能做的护理认真做起来
[00:02:56 -> 00:02:59] 如果你最近也开始关心掉头发
[00:02:59 -> 00:03:02] 可以了解一下欧贝青DMG洗发水
[00:03:02 -> 00:03:06] 选的时候记得看清DMG三个字母
[00:03:06 -> 00:03:08] 它的核心就是咖啡因
[00:03:08 -> 00:03:09] 帮助激活发根
[00:03:09 -> 00:03:12] DMG帮助促进头皮微循环
[00:03:12 -> 00:03:15] 两者形成专利协同配方
[00:03:15 -> 00:03:18] 感谢欧贝青支持本期节目
[00:03:18 -> 00:03:18] 好
[00:03:18 -> 00:03:20] 接下来进入今天的正题
[00:03:20 -> 00:03:25] 我用了一个之前红杉美国的最近一次研讨会的标题
[00:03:25 -> 00:03:27] 叫own your intelligence
[00:03:27 -> 00:03:30] 我又配了一个中文的小标题
[00:03:30 -> 00:03:33] 从模型竞争到智能生产
[00:03:33 -> 00:03:34] 看到这个标题
[00:03:34 -> 00:03:37] 你大概会知道我们今天会讲到什么
[00:03:37 -> 00:03:39] 在讲述开始前
[00:03:39 -> 00:03:42] 先介绍一下这次准备内容的不同之处
[00:03:42 -> 00:03:45] 我刚才讲我这次的PPT内容
[00:03:45 -> 00:03:48] 是去一个朋友的公司做类似培训的事情
[00:03:48 -> 00:03:51] 朋友公司是一家很有意思的公司
[00:03:51 -> 00:03:54] 他在找我的时候给我发了这样一段话
[00:03:54 -> 00:03:57] 他说我们内部agent的程度很高
[00:03:57 -> 00:03:59] 还有自己家的基模
[00:03:59 -> 00:04:01] 对他们家有基础模型
[00:04:01 -> 00:04:03] 全员webcoding
[00:04:03 -> 00:04:06] 所以他说你只要往高了讲就可以
[00:04:06 -> 00:04:09] 我听到这个诉求之后
[00:04:09 -> 00:04:11] 就觉得哇塞
[00:04:11 -> 00:04:15] 这可能是我接的所有类似的项目里面最难的一次
[00:04:15 -> 00:04:17] 更麻烦的是什么呢
[00:04:17 -> 00:04:19] 其实他们是一家金融机构
[00:04:19 -> 00:04:21] 他特意强调了
[00:04:21 -> 00:04:23] 因为我给他之前看了一下
[00:04:23 -> 00:04:25] 一些我过往做过的内容
[00:04:25 -> 00:04:27] 他的建议是说
[00:04:27 -> 00:04:33] 最好就不要去讲二级跟一级的叙事
[00:04:33 -> 00:04:35] 熟悉我的PPT的朋友应该知道
[00:04:35 -> 00:04:37] 我的大部分这种超长的记录总结
[00:04:37 -> 00:04:41] 应该分四张技术产品资本跟一个叙事
[00:04:41 -> 00:04:43] 而那个叙事往往也跟资本相关
[00:04:43 -> 00:04:48] 所以根据他的要求过往我讲了很多的
[00:04:48 -> 00:04:49] KPIX
[00:04:49 -> 00:04:50] MAC7
[00:04:50 -> 00:04:52] 上市融资
[00:04:52 -> 00:04:55] 很多这种叙事都没有办法展开
[00:04:55 -> 00:04:57] 所以今天的这一期的内容
[00:04:57 -> 00:05:01] 更多集中在技术跟产品
[00:05:01 -> 00:05:02] 可能是最难的一次
[00:05:02 -> 00:05:06] 但我觉得也是好事
[00:05:06 -> 00:05:07] 之前的习惯
[00:05:07 -> 00:05:08] 如果了解的话
[00:05:08 -> 00:05:11] 我一般会做记录的更新加行业梳理
[00:05:11 -> 00:05:12] 加一次的叙事
[00:05:12 -> 00:05:15] 那这次可能更多的就是记录的更新
[00:05:15 -> 00:05:18] 加一点点展开
[00:05:18 -> 00:05:20] 我们今天会涉及到哪些关键词
[00:05:20 -> 00:05:22] 我在做这次PPT之前
[00:05:22 -> 00:05:23] 列了大概十几个关键词
[00:05:23 -> 00:05:25] 然后最后挑了五六个关键词
[00:05:25 -> 00:05:28] 留在了我的PPT的算是比较前面的位置
[00:05:28 -> 00:05:29] 第一个关键词
[00:05:29 -> 00:05:31] RSI
[00:05:31 -> 00:05:32] 我觉得在过去
[00:05:32 -> 00:05:33] 可能三大关键词
[00:05:33 -> 00:05:34] 三到四个月时间里面
[00:05:34 -> 00:05:35] 甚至再往前推
[00:05:35 -> 00:05:36] 过去大半年
[00:05:36 -> 00:05:37] 甚至一年左右时间
[00:05:37 -> 00:05:40] 最前沿的模型公司
[00:05:40 -> 00:05:41] 大部分公司在BAT
[00:05:41 -> 00:05:43] 应该就是RSI
[00:05:43 -> 00:05:45] 第二个关键词
[00:05:45 -> 00:05:46] Auto Research
[00:05:46 -> 00:05:50] 可能跟RSI有一定的概念上的重合
[00:05:50 -> 00:05:53] 但它更聚焦在Research任务上
[00:05:53 -> 00:05:54] 它的议题变成了
[00:05:54 -> 00:05:56] 多大程度上的Auto
[00:05:56 -> 00:05:57] 然后前面的RSI
[00:05:57 -> 00:05:59] 我会有一个疑问是说
[00:05:59 -> 00:06:02] 到底RSI是一种目标
[00:06:02 -> 00:06:05] 还是今天大家把模型往前推进的
[00:06:06 -> 00:06:08] 一或是两者都是
[00:06:08 -> 00:06:11] 第三个关键词
[00:06:11 -> 00:06:11] Loop
[00:06:11 -> 00:06:14] 这个关键词可能在我前两期的PPT节目里面
[00:06:14 -> 00:06:17] 应该也出现过无数次了
[00:06:17 -> 00:06:21] 那看起来所有人都在BAT的是一切皆可Loop
[00:06:21 -> 00:06:23] 那真的如此吗
[00:06:23 -> 00:06:25] 再下一个关键词
[00:06:25 -> 00:06:25] New Lab
[00:06:25 -> 00:06:27] 这可能也是过去一年左右时间
[00:06:27 -> 00:06:30] 整个业界在意识上投资角度来看
[00:06:30 -> 00:06:31] 最宽泛的一个定义
[00:06:31 -> 00:06:33] 所有人似乎都成为了New Lab
[00:06:33 -> 00:06:34] 那问题变成了
[00:06:34 -> 00:06:38] 这个定义跟这个范围是不是太大了
[00:06:38 -> 00:06:39] 再下一个关键词
[00:06:39 -> 00:06:40] Router
[00:06:40 -> 00:06:41] 路由
[00:06:41 -> 00:06:41] 路由
[00:06:41 -> 00:06:44] 那路由到底是一个中间态
[00:06:44 -> 00:06:49] 还是它会成为所谓AI行业的一个入口
[00:06:49 -> 00:06:52] 对于这件事情的来回来的败策
[00:06:52 -> 00:06:54] 在过去可能很长一段时间
[00:06:54 -> 00:06:56] 也有很多的观点跟主张
[00:06:56 -> 00:06:58] 最后一个关键词
[00:06:58 -> 00:06:59] Banchmark
[00:06:59 -> 00:07:02] 我的疑问变成了
[00:07:02 -> 00:07:06] 今天连Banchmark似乎也成为了一种瓶颈
[00:07:06 -> 00:07:07] 所以造成的结果是
[00:07:07 -> 00:07:09] 今天出现了一堆公司
[00:07:09 -> 00:07:10] 只做Banchmark
[00:07:10 -> 00:07:12] 就可以成为一家独立的公司
[00:07:12 -> 00:07:16] 就是在我演讲这个PPT的当天
[00:07:16 -> 00:07:17] 阿里跟腾讯
[00:07:17 -> 00:07:20] 投资着一家在中国做Banchmark的公司
[00:07:20 -> 00:07:20] 对
[00:07:20 -> 00:07:21] Banchmark
[00:07:21 -> 00:07:23] 设计的关键词大概是这些
[00:07:23 -> 00:07:26] 然后今天内容正式内容一共分四个章节
[00:07:26 -> 00:07:28] 分别是
[00:07:28 -> 00:07:29] 模型狂奔
[00:07:29 -> 00:07:31] 智能分化
[00:07:31 -> 00:07:33] 循环自生
[00:07:33 -> 00:07:36] 界面重构
[00:07:36 -> 00:07:37] 模型
[00:07:37 -> 00:07:38] 智能
[00:07:38 -> 00:07:39] 循环跟界面
[00:07:39 -> 00:07:40] 四章
[00:07:40 -> 00:07:41] 我们一张来
[00:07:41 -> 00:07:41] 模型狂奔
[00:07:41 -> 00:07:45] 我的这次PPT内容的制作时间
[00:07:45 -> 00:07:50] 应该是9月初到大概9月10号左右
[00:07:50 -> 00:07:51] 就9月的上旬
[00:07:51 -> 00:07:53] 我去截取了
[00:07:53 -> 00:07:54] 8月的
[00:07:54 -> 00:07:56] 到9月的
[00:07:56 -> 00:07:58] 头部模型厂商的发布
[00:07:58 -> 00:08:01] 无论是中国厂商还是美国厂商
[00:08:01 -> 00:08:04] 都可以截出超过20个模型
[00:08:04 -> 00:08:07] 也就是在过去的一个多月时间里面
[00:08:07 -> 00:08:11] 中美可能发了超过40到50个模型
[00:08:11 -> 00:08:13] 而且这只是头部厂商
[00:08:13 -> 00:08:15] 我还没有去统计那些非头部厂商
[00:08:15 -> 00:08:18] 所以面临这种密集的
[00:08:18 -> 00:08:22] 有些过于密的模型发布
[00:08:22 -> 00:08:25] 我觉得无论是像我们这样的观察者
[00:08:25 -> 00:08:26] 个人用户
[00:08:26 -> 00:08:27] 甚至是从业的观察者
[00:08:27 -> 00:08:29] 我觉得大家已经有点麻木了
[00:08:29 -> 00:08:31] 那再看具体的数据统计
[00:08:31 -> 00:08:32] 两张图
[00:08:32 -> 00:08:34] 第一张图来自OpenRouter
[00:08:34 -> 00:08:37] 这张图我在我的AI by Number里面用过
[00:08:37 -> 00:08:40] 就是OpenRouter那个数据分析师给出的数据
[00:08:40 -> 00:08:45] 24年在OpenRouter上上线的模型
[00:08:45 -> 00:08:46] 平均一个月
[00:08:46 -> 00:08:48] 一般是十几个到二十个
[00:08:48 -> 00:08:50] 最多是24年8月份打到28个
[00:08:50 -> 00:08:53] 那就是说平均每一天
[00:08:53 -> 00:08:55] 就是0.5到1个
[00:08:55 -> 00:08:55] 但不到1个
[00:08:55 -> 00:08:57] 所以他用了白色的柱状
[00:08:57 -> 00:08:59] 表示24年的使用方式这样
[00:08:59 -> 00:09:00] 到了25年
[00:09:00 -> 00:09:00] 25年的时候
[00:09:00 -> 00:09:03] 你会发现有大概六个月的模型发布
[00:09:03 -> 00:09:05] 也不到平均每天一个
[00:09:05 -> 00:09:07] 大概平均在25 26 27这样
[00:09:07 -> 00:09:09] 但是有另外六个月的模型发布
[00:09:09 -> 00:09:10] 分别到了45个
[00:09:10 -> 00:09:11] 50个
[00:09:11 -> 00:09:12] 35个
[00:09:12 -> 00:09:13] 42个
[00:09:13 -> 00:09:14] 42个跟35个
[00:09:14 -> 00:09:15] 那平均来算
[00:09:15 -> 00:09:16] 那六个月
[00:09:16 -> 00:09:18] 每一天的平均新的模型
[00:09:18 -> 00:09:20] 有超过了一个
[00:09:20 -> 00:09:21] 没有到1.5
[00:09:21 -> 00:09:24] 所以他用紫色的柱子表示了
[00:09:24 -> 00:09:25] 那这件事情到了26年呢
[00:09:25 -> 00:09:27] 你会发现
[00:09:27 -> 00:09:29] 这个图制作的时间
[00:09:29 -> 00:09:31] 是截止到26年的8月11号
[00:09:31 -> 00:09:32] 也就是说
[00:09:32 -> 00:09:33] 7个完整月
[00:09:33 -> 00:09:35] 7个完整月当中
[00:09:35 -> 00:09:37] 有三个月的模型发布
[00:09:37 -> 00:09:39] 没有达到平均一天一个
[00:09:39 -> 00:09:40] 1月17个
[00:09:40 -> 00:09:41] 2月26个
[00:09:41 -> 00:09:43] 啊不对
[00:09:43 -> 00:09:46] 前面7个月里面有
[00:09:46 -> 00:09:46] 只有两个月
[00:09:46 -> 00:09:48] 平均没有达到一个
[00:09:48 -> 00:09:49] 就是1月跟2月
[00:09:49 -> 00:09:51] 分别发布了17个跟26个
[00:09:51 -> 00:09:52] 超过一个的
[00:09:52 -> 00:09:53] 3月
[00:09:53 -> 00:09:54] 5月
[00:09:54 -> 00:09:55] 6月
[00:09:55 -> 00:09:56] 平均每一天超过了一个
[00:09:56 -> 00:09:58] 更更更疯狂的是
[00:09:58 -> 00:10:01] 在4月跟7月
[00:10:01 -> 00:10:03] 分别是80个跟70个
[00:10:03 -> 00:10:05] 也就是平均一天达到了两个
[00:10:05 -> 00:10:06] 他用绿色组装
[00:10:06 -> 00:10:07] 而这张图截止到
[00:10:07 -> 00:10:07] 8月
[00:10:07 -> 00:10:08] 8月11号
[00:10:08 -> 00:10:09] 8月份
[00:10:09 -> 00:10:10] 11天
[00:10:10 -> 00:10:10] 发了22个
[00:10:10 -> 00:10:12] 所以如果8月整月来算
[00:10:12 -> 00:10:13] 应该也是超过两个
[00:10:13 -> 00:10:17] 从频率跟发布的量来看
[00:10:17 -> 00:10:20] 确实模型厂商在疯狂的发布
[00:10:20 -> 00:10:22] 另外一张图来自Hugging Face
[00:10:22 -> 00:10:23] 很有意思
[00:10:23 -> 00:10:24] 一张Open Router
[00:10:24 -> 00:10:25] 一张Hugging Face
[00:10:25 -> 00:10:26] 两家公司都被收购了
[00:10:26 -> 00:10:27] 后面会展开
[00:10:27 -> 00:10:28] 他统计的
[00:10:28 -> 00:10:29] 他Hugging Face上
[00:10:29 -> 00:10:31] 所覆盖的所有的AI的模型
[00:10:31 -> 00:10:32] 这就不单纯只是语言模型
[00:10:32 -> 00:10:33] 有多模态
[00:10:33 -> 00:10:33] 有语音
[00:10:33 -> 00:10:34] 有RL
[00:10:34 -> 00:10:36] 有各种各样的模态的环境
[00:10:36 -> 00:10:37] 你明显感知到
[00:10:37 -> 00:10:38] 从这个曲线的分布来看
[00:10:38 -> 00:10:39] 进入到25年下半年
[00:10:39 -> 00:10:41] 这个曲线瞬间的变成了一个
[00:10:41 -> 00:10:42] 急速往上拉的状态
[00:10:42 -> 00:10:43] 进入26年之后
[00:10:43 -> 00:10:44] 这个曲线硬生生的
[00:10:44 -> 00:10:45] 又被拉出来一个
[00:10:45 -> 00:10:46] 血率增长的状态
[00:10:46 -> 00:10:47] 就基本上快跟
[00:10:47 -> 00:10:48] 笔直的往上增长一样
[00:10:48 -> 00:10:50] 所以肉眼可见的
[00:10:50 -> 00:10:52] 从模型发布角度来讲
[00:10:52 -> 00:10:54] 总量跟频率都在增加
[00:10:54 -> 00:10:56] 再一点
[00:10:56 -> 00:10:57] 版本号的变化
[00:10:57 -> 00:10:59] 我列了三个版本号
[00:10:59 -> 00:10:59] 可能是最近
[00:10:59 -> 00:11:01] 国内比较有名的几个版本号
[00:11:01 -> 00:11:03] 比如说DeepSick V4 Flash
[00:11:03 -> 00:11:05] 第一次发布叫
[00:11:05 -> 00:11:08] DeepSick V4 Flash 0731
[00:11:08 -> 00:11:09] 然后没过多久
[00:11:09 -> 00:11:11] DeepSick V4发了Pro
[00:11:11 -> 00:11:14] 叫DeepSick V4 Pro 0813
[00:11:14 -> 00:11:16] 然后又没过多久
[00:11:16 -> 00:11:19] 千万发了3.8 Max 0902
[00:11:19 -> 00:11:20] 我们单纯只看
[00:11:20 -> 00:11:22] 这个版本号本身
[00:11:22 -> 00:11:24] 第一层我们看到了
[00:11:24 -> 00:11:27] 除了定义版本号之外
[00:11:27 -> 00:11:30] 出现了Flash Pro Max
[00:11:30 -> 00:11:31] 这样的分布
[00:11:31 -> 00:11:32] 比如GBT有Soul
[00:11:32 -> 00:11:33] 有Luna
[00:11:33 -> 00:11:34] 有这样的划分
[00:11:34 -> 00:11:36] Cloud模型也分
[00:11:36 -> 00:11:38] 这样的不同的
[00:11:38 -> 00:11:39] 参数量的大小
[00:11:39 -> 00:11:40] 这是一层
[00:11:40 -> 00:11:42] 同时这一层分布还不够
[00:11:42 -> 00:11:43] 还加了
[00:11:43 -> 00:11:44] 日期
[00:11:44 -> 00:11:47] 为什么要加日期呢
[00:11:47 -> 00:11:50] 因为版本模型之间的
[00:11:50 -> 00:11:52] 版本号发布的密集
[00:11:52 -> 00:11:54] 导致你可能仅仅过了一段时间
[00:11:54 -> 00:11:55] 没有很久之后
[00:11:55 -> 00:11:57] 前面的VG或者是
[00:11:57 -> 00:11:58] 那个版本号
[00:11:58 -> 00:11:59] 没有太大的变化
[00:11:59 -> 00:12:01] 甚至连Flash跟Pro也没有变化
[00:12:01 -> 00:12:02] 但是这个模型
[00:12:02 -> 00:12:03] 其实已经有进化了
[00:12:03 -> 00:12:05] 那我们只能用日期
[00:12:05 -> 00:12:06] 来去做区隔了
[00:12:06 -> 00:12:07] 那好
[00:12:07 -> 00:12:10] 先有版本号
[00:12:10 -> 00:12:12] 然后模型的大小的
[00:12:12 -> 00:12:13] 对应的号
[00:12:13 -> 00:12:15] 然后又有了日期
[00:12:15 -> 00:12:16] 那再往后
[00:12:16 -> 00:12:19] 是不是还需要加别的
[00:12:19 -> 00:12:20] 版本号的变化
[00:12:20 -> 00:12:23] 所以模型变成了什么
[00:12:23 -> 00:12:24] 像赞爱来讲
[00:12:24 -> 00:12:27] 模型或者是大模型的生产
[00:12:27 -> 00:12:28] 跟训练
[00:12:28 -> 00:12:30] 变成了纯纯的制造业
[00:12:30 -> 00:12:32] 之前赞爱一篇文章
[00:12:32 -> 00:12:34] 叫大模型是残酷的制造业
[00:12:34 -> 00:12:35] 有几段话
[00:12:35 -> 00:12:36] 我觉得讲得非常好
[00:12:36 -> 00:12:37] 我截取了几段
[00:12:37 -> 00:12:40] 经过了这两个月
[00:12:40 -> 00:12:41] 模型厂的狂轰滥炸
[00:12:41 -> 00:12:43] 疯狂更新之后
[00:12:43 -> 00:12:45] 相信大伙都逐渐认清了一个事实
[00:12:45 -> 00:12:46] 这些模型厂之间
[00:12:46 -> 00:12:47] 没有本质区别
[00:12:47 -> 00:12:49] 水平都差不多
[00:12:49 -> 00:12:51] 无非是谁的新版本
[00:12:51 -> 00:12:52] 强发几倍了
[00:12:52 -> 00:12:53] 谁反发几天的差异
[00:12:53 -> 00:12:55] 你回想过去这几个月的时间
[00:12:55 -> 00:12:56] 似乎确实如此
[00:12:56 -> 00:12:58] 下一条
[00:12:58 -> 00:12:59] 判断一个行业
[00:12:59 -> 00:13:01] 是不是制造业有一个硬指标
[00:13:01 -> 00:13:03] 那就是马斯克能不能玩明白
[00:13:03 -> 00:13:04] 你看最近
[00:13:04 -> 00:13:08] SpaceX的模型
[00:13:08 -> 00:13:09] 就是Glock
[00:13:09 -> 00:13:10] 也还不错
[00:13:10 -> 00:13:12] 马胜跨界
[00:13:12 -> 00:13:13] 进去玩不明白的
[00:13:13 -> 00:13:14] 那铁不是制造业
[00:13:14 -> 00:13:16] 第三段话
[00:13:16 -> 00:13:17] 事实证明
[00:13:17 -> 00:13:18] 科学家带不好
[00:13:18 -> 00:13:20] 现阶段的大模型团队
[00:13:20 -> 00:13:22] 因为科学家不爱带人打标
[00:13:22 -> 00:13:23] 不爱工程任务
[00:13:23 -> 00:13:24] 而现阶段
[00:13:24 -> 00:13:25] 干大模型
[00:13:25 -> 00:13:26] 需要的就是
[00:13:26 -> 00:13:26] 包工头
[00:13:26 -> 00:13:27] 带大伙一起
[00:13:27 -> 00:13:28] 007
[00:13:28 -> 00:13:30] 主要工作就是做题
[00:13:30 -> 00:13:31] 解题
[00:13:31 -> 00:13:32] 说的没有任何错
[00:13:32 -> 00:13:33] 所以大模型变成了
[00:13:33 -> 00:13:34] 残酷的制造业
[00:13:34 -> 00:13:36] 至此
[00:13:36 -> 00:13:37] 出现了一个新的问题
[00:13:37 -> 00:13:39] 我前面提到的
[00:13:39 -> 00:13:40] 关键词的最后一个
[00:13:40 -> 00:13:41] benchmark
[00:13:41 -> 00:13:44] 面临这么密集的模型发布
[00:13:44 -> 00:13:45] 用户
[00:13:45 -> 00:13:47] 厂商
[00:13:47 -> 00:13:48] 2B的公司
[00:13:48 -> 00:13:49] 观察者
[00:13:49 -> 00:13:52] 如何去评判
[00:13:52 -> 00:13:54] 这个模型的能力
[00:13:54 -> 00:13:54] 我们看到了
[00:13:54 -> 00:13:55] 各种各样的打分
[00:13:55 -> 00:13:56] 甚至那个最有名的
[00:13:56 -> 00:13:58] 用提壶骑车的做案例
[00:13:58 -> 00:13:59] 看到了
[00:13:59 -> 00:14:00] 各种各样的
[00:14:00 -> 00:14:01] 所谓帕利特最优的衡量
[00:14:01 -> 00:14:03] 也就是除了衡量模型能力
[00:14:03 -> 00:14:04] 也衡量价格
[00:14:04 -> 00:14:06] 你可以在所有模型发布的
[00:14:06 -> 00:14:06] 官方推送上
[00:14:06 -> 00:14:08] 看到各种各样的
[00:14:08 -> 00:14:08] 榜单推送
[00:14:08 -> 00:14:09] 可是
[00:14:09 -> 00:14:11] 似乎看起来
[00:14:11 -> 00:14:13] 所有的这些
[00:14:13 -> 00:14:14] 榜单
[00:14:14 -> 00:14:15] benchmark
[00:14:15 -> 00:14:17] 都很难界定
[00:14:17 -> 00:14:18] 一个模型
[00:14:18 -> 00:14:19] 到底
[00:14:19 -> 00:14:20] 好不好
[00:14:20 -> 00:14:22] 强不强
[00:14:22 -> 00:14:23] 就像
[00:14:23 -> 00:14:26] 兰西老师说的
[00:14:26 -> 00:14:26] 似乎
[00:14:26 -> 00:14:28] 我们需要另外一种方式
[00:14:28 -> 00:14:29] 去衡量
[00:14:29 -> 00:14:31] 这个模型的价值
[00:14:31 -> 00:14:32] 所以出现了什么问题
[00:14:32 -> 00:14:33] 你发现了吗
[00:14:33 -> 00:14:34] 最近一些新的模型
[00:14:34 -> 00:14:35] 比如说
[00:14:35 -> 00:14:35] 之前
[00:14:35 -> 00:14:36] 之前的
[00:14:36 -> 00:14:37] Fab 5.1
[00:14:37 -> 00:14:38] 比如说
[00:14:38 -> 00:14:39] 腾源的
[00:14:39 -> 00:14:40] 混元4的
[00:14:40 -> 00:14:41] preview
[00:14:41 -> 00:14:42] preview版本
[00:14:42 -> 00:14:43] 发布的时候
[00:14:43 -> 00:14:45] 包括这次
[00:14:45 -> 00:14:46] GPT-6发布之后
[00:14:46 -> 00:14:46] 你发现
[00:14:46 -> 00:14:48] 大面积的评测视频
[00:14:48 -> 00:14:49] 都在用
[00:14:49 -> 00:14:50] 让模型去做
[00:14:50 -> 00:14:53] 3D的效果
[00:14:53 -> 00:14:55] 来去衡量模型的价值
[00:14:55 -> 00:14:56] 那就出现一个问题
[00:14:56 -> 00:14:58] 为什么
[00:14:58 -> 00:14:59] 大家都开始
[00:14:59 -> 00:15:00] 和3D过不去了
[00:15:00 -> 00:15:02] 也是兰西老师说的
[00:15:02 -> 00:15:04] 当所有的
[00:15:04 -> 00:15:05] benchmark失效之后
[00:15:05 -> 00:15:05] 我们
[00:15:05 -> 00:15:07] 这些观察者
[00:15:07 -> 00:15:08] 用户
[00:15:08 -> 00:15:09] 甚至厂商
[00:15:09 -> 00:15:11] 对于模型
[00:15:11 -> 00:15:12] 的传播
[00:15:12 -> 00:15:14] 跟模型能力的界定
[00:15:14 -> 00:15:16] 是需要奇观的
[00:15:16 -> 00:15:18] 那3D也好
[00:15:18 -> 00:15:19] game也好
[00:15:19 -> 00:15:20] 似乎就是
