# 转录元数据
# 节目: 得到《长谈》第64期（B站转载，UP主：商业成长）
# 标题: 64｜程乐松×脱不花：活得哲学一点
# 嘉宾: 程乐松（北京大学哲学系主任）/ 主持: 脱不花
# 发布: 2026-09-05 10:00 (B站) / 时长: 2h55m58s (10558s)
# 下载: opencli bilibili download BV1B24667EQH (480p, 342MB)
# 音频: ffmpeg 提取 mono 16kHz 128k mp3, 161MB
# 转录: whisper.cpp ggml-large-v3 Metal --vad (silero v6.2.0), 2026-09-11
# 段数: 4466 / 汉字: 51130 / 语速: 291字/min
# 校验源: B站官方中文字幕(4652条, 52591汉字, 亦为ASR产物仅供交叉校验)
[00:03:25 -> 00:03:26] 需要调试一下
[00:03:26 -> 00:03:28] 你比如说
[00:03:28 -> 00:03:29] 你要反复提醒自己
[00:03:29 -> 00:03:31] 仍然是一个学者
[00:03:31 -> 00:03:33] 仍然是一个教书匠
[00:03:33 -> 00:03:35] 而且其实
[00:03:35 -> 00:03:38] 我最开始写那些东西
[00:03:38 -> 00:03:40] 也不是给大众写的
[00:03:40 -> 00:03:41] 这点我必须非常明确
[00:03:41 -> 00:03:45] 我不是给大众写的
[00:03:45 -> 00:03:47] 而且那个东西也不是学术写作
[00:03:47 -> 00:03:50] 它也不是需要严肃论证的东西
[00:03:50 -> 00:03:53] 它其实就是一些特别简单的
[00:03:53 -> 00:03:55] 这种陈述
[00:03:55 -> 00:03:59] 一些可能相对真诚一点的建议
[00:03:59 -> 00:04:01] 而且对于刚入校的学生
[00:04:01 -> 00:04:03] 和对毕业生语气不太一样
[00:04:03 -> 00:04:07] 我没有想过他会出圈
[00:04:07 -> 00:04:09] 而且实际上更重要的是
[00:04:09 -> 00:04:09] 在我看来
[00:04:09 -> 00:04:11] 我本来就没有想发表
[00:04:11 -> 00:04:11] 嗯
[00:04:11 -> 00:04:13] 我本来就没有想发表
[00:04:13 -> 00:04:15] 其实只是在那个仪式上的一个讲话
[00:04:15 -> 00:04:17] 它只是为了这么一个仪式
[00:04:17 -> 00:04:19] 为了庄重
[00:04:19 -> 00:04:21] 你知道我做道教研究的
[00:04:21 -> 00:04:23] 道教研究实际上就是搞仪式
[00:04:23 -> 00:04:25] 所以我对仪式是有敏感的
[00:04:25 -> 00:04:27] 我就写了一个稿子
[00:04:27 -> 00:04:28] 所以写了一个稿子
[00:04:28 -> 00:04:30] 就在上面读稿子
[00:04:30 -> 00:04:31] 实际上我个人觉得
[00:04:31 -> 00:04:33] 我在讲的过程里面
[00:04:33 -> 00:04:36] 在读稿子以前对于我同事的调侃
[00:04:36 -> 00:04:37] 我认为水平更高
[00:04:37 -> 00:04:39] 而不是那个稿子
[00:04:39 -> 00:04:41] 而且这个稿子本身呢
[00:04:41 -> 00:04:44] 我想很多的读者读到它的时候
[00:04:44 -> 00:04:46] 实际上是我
[00:04:46 -> 00:04:47] 我是这么看
[00:04:47 -> 00:04:51] 是可能是引起了某一些共鸣而已
[00:04:51 -> 00:04:53] 本身这也不是经过我设计的
[00:04:53 -> 00:04:55] 我也并没有想引起谁的共鸣
[00:04:55 -> 00:04:56] 而且呢
[00:04:56 -> 00:04:58] 很悲哀的一件事情是什么
[00:04:58 -> 00:05:00] 我恰恰觉得这是最悲哀的事情
[00:05:00 -> 00:05:04] 我非常认真的想写给我的那些学生
[00:05:04 -> 00:05:06] 我相信他们是最少共鸣的
[00:05:06 -> 00:05:07] 哈哈哈
[00:05:07 -> 00:05:08] 因为我刚想问你
[00:05:08 -> 00:05:09] 就是你在现场念稿子的时候
[00:05:09 -> 00:05:11] 学生们的反应和网上的反应
[00:05:11 -> 00:05:12] 是一样吗
[00:05:12 -> 00:05:13] 不一样
[00:05:13 -> 00:05:14] 因为对于比如说
[00:05:14 -> 00:05:16] 入学的学生
[00:05:16 -> 00:05:19] 他们其实他们脑子里不是迷茫
[00:05:19 -> 00:05:22] 而是收集了一堆看起来很细致
[00:05:22 -> 00:05:25] 但是对于北大和北大哲学系
[00:05:25 -> 00:05:28] 并没有什么有深度理解的信息
[00:05:28 -> 00:05:29] 那这些信息呢
[00:05:29 -> 00:05:34] 变成了他们接下来几年要如何去用高度算计的方式
[00:05:34 -> 00:05:36] 去过好这四年保证他们能保研
[00:05:36 -> 00:05:37] 或者保证能出国
[00:05:37 -> 00:05:39] 或者保证能其他的东西
[00:05:39 -> 00:05:41] 这样的一种他们正在算
[00:05:41 -> 00:05:42] 就是他们在calculating
[00:05:42 -> 00:05:44] 他们根本就没有在听
[00:05:44 -> 00:05:49] 而且这些看起来的
[00:05:49 -> 00:05:51] 我认为颇有价值的建议
[00:05:51 -> 00:05:54] 对他们而言实际上是最没有用的
[00:05:54 -> 00:05:55] 我说为什么没有用呢
[00:05:55 -> 00:05:57] 就是说你能给他带来几点吗
[00:05:57 -> 00:06:00] 你能保证他的雅思考好吗
[00:06:00 -> 00:06:03] 你能保证他能找到很好的实习吗
[00:06:03 -> 00:06:07] 你能不能保证他能够保研到合适的
[00:06:07 -> 00:06:09] 他自己想去的专业
[00:06:09 -> 00:06:10] 或者是
[00:06:10 -> 00:06:13] 这个科系其实都不能
[00:06:13 -> 00:06:15] 咱们一系主任开头就这么批判
[00:06:15 -> 00:06:16] 这好吗
[00:06:16 -> 00:06:17] 我不是
[00:06:17 -> 00:06:18] 我不是批判他们
[00:06:18 -> 00:06:21] 我其实我特别理解他们
[00:06:21 -> 00:06:24] 就是如果我站在他们今天的位置的时候
[00:06:24 -> 00:06:26] 我也听不进这样的建议
[00:06:26 -> 00:06:28] 因为这样的建议本身呢
[00:06:28 -> 00:06:30] 首先要落实起来并不容易
[00:06:30 -> 00:06:31] 其次呢
[00:06:31 -> 00:06:36] 他我们今天这个时代如果没有计时的效果
[00:06:36 -> 00:06:38] 他凭什么去听你的建议
[00:06:38 -> 00:06:39] 我们今天是这样子的
[00:06:39 -> 00:06:41] 我们今天甚至是说
[00:06:41 -> 00:06:43] 我都不愿意
[00:06:43 -> 00:06:44] 我想吃什么东西
[00:06:44 -> 00:06:46] 最好是把这个东西马上放到我面前
[00:06:46 -> 00:06:48] 你不用告诉我这东西怎么做成的
[00:06:48 -> 00:06:50] 你也不用告诉我这中间食材有多么费劲
[00:06:50 -> 00:06:51] 你不用跟我说这个事
[00:06:51 -> 00:06:52] 我不听这个故事
[00:06:52 -> 00:06:54] 我只要结果
[00:06:54 -> 00:06:56] 那么实际上在对于这些学生而言
[00:06:56 -> 00:06:57] 他们是这样子的
[00:06:57 -> 00:06:59] 那么对于毕业生而言
[00:06:59 -> 00:07:00] 他们更是如此
[00:07:00 -> 00:07:04] 他们他们比毕业比这个大一的学生还要迷茫
[00:07:04 -> 00:07:05] 对吧
[00:07:05 -> 00:07:07] 因为他们要面对的问题更复杂
[00:07:07 -> 00:07:08] 是吧
[00:07:08 -> 00:07:08] 说实话
[00:07:08 -> 00:07:11] 我不是一个很善于写这种东西的人
[00:07:11 -> 00:07:12] 其实我的
[00:07:12 -> 00:07:13] 论文
[00:07:13 -> 00:07:16] 绝大部分人会看起来觉得非常拗口
[00:07:16 -> 00:07:18] 我的导师曾经跟我讲过
[00:07:18 -> 00:07:21] 我不知道你读没有读过我自己那篇文章
[00:07:21 -> 00:07:26] 就是我也非常认同我导师说的话
[00:07:26 -> 00:07:28] 我的硕士论文交给我导师的时候
[00:07:28 -> 00:07:30] 我导师跟我在吃饭的时候
[00:07:30 -> 00:07:31] 我记得很清楚
[00:07:31 -> 00:07:31] 他问我
[00:07:31 -> 00:07:33] 他说陈诺松
[00:07:33 -> 00:07:36] 你知道人为什么要吃狗肉吗
[00:07:36 -> 00:07:39] 他说人吃狗肉是为了长人肉
[00:07:39 -> 00:07:40] 不像你吃了狗肉
[00:07:40 -> 00:07:42] 长出来都是狗肉
[00:07:42 -> 00:07:44] 因为他说我的论文写的
[00:07:44 -> 00:07:48] 特别像那种翻译的特别蹩脚的那种西方理论著作
[00:07:48 -> 00:07:51] 所以那个时候就是读了很多的西方理论著作
[00:07:51 -> 00:07:53] 生怕别人不知道你读过
[00:07:53 -> 00:07:54] 然后你就把它就给它写上去
[00:07:54 -> 00:07:58] 而且好几个不相干的概念都把它凑在一起
[00:07:58 -> 00:07:59] 读起来就非常别扭
[00:07:59 -> 00:08:01] 但是这种深色的表述
[00:08:01 -> 00:08:04] 到今天为止仍然或者相对晦涩的表述
[00:08:04 -> 00:08:09] 到今天为止仍然是我的非常具有标志性的文风
[00:08:09 -> 00:08:15] 所以我很多朋友说你的那些致辞看着比听着说
[00:08:15 -> 00:08:18] 就是你听的时候你是跟不上的
[00:08:18 -> 00:08:20] 就是好像句子都很长
[00:08:20 -> 00:08:22] 这也是我自己的一个写作风格
[00:08:22 -> 00:08:24] 所以我并不觉得我写的好
[00:08:24 -> 00:08:26] 我是发自内心的不觉得我写的好
[00:08:26 -> 00:08:29] 就完全没有做这样一个出圈的准备
[00:08:29 -> 00:08:30] 肯定不会
[00:08:30 -> 00:08:31] 我也相信不会
[00:08:31 -> 00:08:33] 但是负责任的讲
[00:08:33 -> 00:08:35] 今年毕业典礼这篇文章的确让我有点压力
[00:08:35 -> 00:08:39] 因为我是觉得好像是被架上去了
[00:08:39 -> 00:08:42] 好像你不讲出点什么来不合适
[00:08:42 -> 00:08:43] 大家都很期待
[00:08:43 -> 00:08:45] 但是说实话
[00:08:45 -> 00:08:48] 就是说写着写着我也其实就放松了
[00:08:48 -> 00:08:51] 这个东西我的一个好老师讲过的
[00:08:51 -> 00:08:55] 他说所有的网红的最终的结果都是过期网红
[00:08:55 -> 00:08:58] 他说与其晚一点过期不如早点过期
[00:08:58 -> 00:09:03] 让你踏踏实实的回到正常的教学和研究的生活里来
[00:09:03 -> 00:09:05] 他说这个是更好的东西
[00:09:05 -> 00:09:06] 我非常同意的
[00:09:06 -> 00:09:08] 而且我非常认同他的话
[00:09:08 -> 00:09:12] 但是跟前年相比就是多少得考虑点社会影响是吧
[00:09:12 -> 00:09:15] 因为你知道外界会有人看你
[00:09:15 -> 00:09:19] 但是应用上尽量避免那种过于反讽的话
[00:09:19 -> 00:09:22] 但这并不代表我没有想写
[00:09:22 -> 00:09:23] 也反讽了
[00:09:23 -> 00:09:25] 我觉得我看了
[00:09:25 -> 00:09:28] 我觉得还是自嘲的机会多吧
[00:09:28 -> 00:09:30] 我还是我还是自嘲的机会多
[00:09:30 -> 00:09:36] 后来我其实在在我我我认为自嘲应该是不太伤人
[00:09:36 -> 00:09:37] 对吧
[00:09:37 -> 00:09:43] 当然我没想到其实好像好像是把我的同行们伤到
[00:09:43 -> 00:09:44] 你要对号入座的话
[00:09:44 -> 00:09:45] 总能受伤的
[00:09:45 -> 00:09:50] 对我自己因为前后两年的我都非常认真的去去读了
[00:09:50 -> 00:09:56] 我自己其实是知道的就是肯定你的学生没有那么受触动
[00:09:56 -> 00:09:59] 我倒不觉得说他们是比较尊重老师啊或者如何怎样
[00:09:59 -> 00:10:01] 就是因为我觉得他的人生还没有到那个阶段
[00:10:01 -> 00:10:04] 就他没有遇到这些问题
[00:10:04 -> 00:10:08] 而为什么社会公众好像对你的讲话反应很大
[00:10:08 -> 00:10:11] 是因为被社会夺打过了
[00:10:11 -> 00:10:12] 就遇到了这些问题
[00:10:12 -> 00:10:14] 我觉得人总是在遇到问题的时候才能打开它
[00:10:14 -> 00:10:17] 打开一个入口
[00:10:17 -> 00:10:18] 让让一些东西涌进来
[00:10:18 -> 00:10:19] 没错没错
[00:10:19 -> 00:10:23] 对我觉得孩子们他对你的内容没有顾名也是好事
[00:10:23 -> 00:10:24] 我也觉得是
[00:10:24 -> 00:10:32] 其实呢就是说呃一个人都会这样去表述自己的呃生生命经验和对未来的预期啊
[00:10:32 -> 00:10:36] 实际上也就说明他的生命活力正在衰减
[00:10:36 -> 00:10:39] 嗯我这样讲的时候其实并不是针对任何人
[00:10:39 -> 00:10:43] 我是说其实有些时候呢呃一直尝试要跟自己和解
[00:10:43 -> 00:10:48] 或者是一直要尝试去接纳生活给我的所有的安置
[00:10:48 -> 00:10:56] 在很大程度上就是一种就是一种被呃生命经验或者是社会经验给你带来一定积累以后啊
[00:10:56 -> 00:11:00] 你意识到有些东西可能是在你的能力范围之外
[00:11:00 -> 00:11:05] 嗯呃而且呢你其实比较淡然的或者从容的接受它
[00:11:05 -> 00:11:11] 这个接受本身呢在一定程度上来说呃如果你自己是自觉的
[00:11:11 -> 00:11:13] 那我觉得非常没问题
[00:11:13 -> 00:11:14] 但是有些时候
[00:11:14 -> 00:11:17] 可能是呃我是认为是这样啊
[00:11:17 -> 00:11:21] 可能很多呃有这样的感受的人
[00:11:21 -> 00:11:27] 他可能不太呃不太能找到一种精确的表达啊
[00:11:27 -> 00:11:30] 突然觉得哎这个家伙讲出来的东西好像跟我想的差不多啊
[00:11:30 -> 00:11:33] 谁听对就是哎这就就他就他这个挺好
[00:11:33 -> 00:11:35] 实际上是这样的一种逻辑
[00:11:35 -> 00:11:45] 我所以呢有些时候你就发觉你好像是在在替某种生命状态或者是社会生活的状态做了一些表达啊
[00:11:45 -> 00:11:47] 这个我特别认同
[00:11:47 -> 00:11:55] 因为嗯一个哲学系的老师在毕业典礼上的讲话被那么多的公众所认同
[00:11:55 -> 00:11:58] 而且反复的去互相的传播
[00:11:58 -> 00:12:05] 他一定不是因为说哦这个人他像做了一个多么爆炸效果的广告一样
[00:12:05 -> 00:12:11] 这个广告打动了所有人不是的就一定是此时此刻大家需要这个人呃
[00:12:11 -> 00:12:16] 所以我我我想我接下来可不可以这样问这个问题啊就是咱们把成了说这三个字
[00:12:16 -> 00:12:22] 当做一个客观的研究对象啊就是为什么此时此刻大家需要成乐颂呢
[00:12:22 -> 00:12:28] 我我想你是不是可以换一个视角去问呃分三个层面去问啊
[00:12:28 -> 00:12:32] 就比如说如果成了说是一个路人甲
[00:12:32 -> 00:12:38] 会不会有人愿意听我是认为可能愿意听的人就少
[00:12:38 -> 00:12:42] 那当然比如说我自己开一个啊社交媒体账号
[00:12:42 -> 00:12:46] 我把这些文章我写我把同样的文章内容都po上去
[00:12:46 -> 00:12:49] 我相信不会怎么出圈是吧
[00:12:49 -> 00:12:56] 首先呢我必须说北京大学和北京大学哲学系以及北京大学哲学系主任这样的一些呃
[00:12:56 -> 00:13:02] 这样的一些外在的标签实际上是自然会引起别人的关注啊
[00:13:02 -> 00:13:10] 这是我觉得是这样子而且呢呃一般人在阅读的时候对于这些标签就已经产生期待了
[00:13:10 -> 00:13:16] 这种期待是我们现在这个时代最稀缺的注意力对对吧其实注意力是这个时代
[00:13:16 -> 00:13:24] 最稀缺的东西所以首先这个这个这个是我觉得你必须首先搞清楚我不是一个呃就这个名字的人
[00:13:24 -> 00:13:32] 而且而且呢我是依赖着我的学校嗯我的院系我的我的学科啊才得到了人家的关注啊
[00:13:32 -> 00:13:41] 这是第一方面第二方面呢我觉得可能是在整个社会的公众的那个表达上产生了一种角度上的转换
[00:13:41 -> 00:13:44] 这个角度上的转换是什么呢就在过往的
[00:13:44 -> 00:13:54] 我认为在两千年以以后实际上我们是非整个社会非是非常扮演那个所谓的呃
[00:13:54 -> 00:14:03] why not me的那那一套叙事对吧就是如果你如果你可以那我也可以对啊如果这个世界上有人可以那why not
[00:14:03 -> 00:14:11] me对就这种表述方式一直是大家都白眼的就传统成功学传统的那种东西是白眼的但是呢可能最近的几年
[00:14:11 -> 00:14:21] 我觉得嗯是有一些风向的转换我认为这个风向的转换恰恰是说明我们的社会正在回归一个相对正常的状态
[00:14:21 -> 00:14:41] 嗯因为从我在我看来过往的40多年中国人其实中国社会其实经历了人类历史上从没有见证过的快速发展啊我今次我还跟我的朋友讲我说我们这代人好像还真是经过了经过好几个时代啊就我们小时候是是在
[00:14:41 -> 00:14:43] 在田里耕种过的
[00:14:43 -> 00:14:45] 也就是我们在农业社会公开过
[00:14:45 -> 00:14:58] 然后等到我们读高中的时候其实已经进入啊这个工业社会了对吧就是有象征企业叠拉巴拉的对然后等了到到大学以后你开始有手机有呼机的时候其实你就开始进入到了信息社会对然后我们今天假装我们自己快到
[00:14:58 -> 00:15:11] 智囊社会了对所以我们我们一代人以只是活了40多年而已我们经历了四个社会形态是也就是说这个生产力发展速度之快啊社会变迁之快以及
[00:15:11 -> 00:15:16] 个体的啊直接的日常经验的那个结构啊
[00:15:16 -> 00:15:24] 这个颠覆之快所以使得绝大多数人是在跟着这个时代想要去强跑的啊但是呢
[00:15:24 -> 00:15:33] 其实我们绝大多数人应该都是在这个时代中间去沉浸而不是强跑对吧我们总是是跟在我们是总是还想要跟时间赛跑的样子
[00:15:33 -> 00:15:41] 所以这个跟老欧洲啊是完全不一样的当然老欧洲有另外一套的这个叙事逻辑但我想呢这是
[00:15:42 -> 00:15:55] 呃过最近几年正好把这个把这个社会叙述的整体的风向他其实是有点转换而且这个转换我认为是一个正常的转换我们需要这样转换我们需要回到一个
[00:15:55 -> 00:16:06] 呃我们重新关注自己的生活关注自己的日常关注自己的这个一日三餐关注自己的呃傻傻应对的这么一个
[00:16:06 -> 00:16:08] 呃时期啊
[00:16:08 -> 00:16:12] 呃我觉得我们不能再这样去如此迅猛的再去发展
[00:16:12 -> 00:16:25] 呃我当然我希望他可以继续这么继续迅猛的继续发展下去但是我觉得可能至少不能够这样持续下去或者说他需要一个转换这是第二个我觉得非常重要的点第三个呢
[00:16:25 -> 00:16:27] 我觉得你换一个视角去看就是说
[00:16:27 -> 00:16:34] 呃十年前我记得好像好多好多年前中文系有一个师姐叫卢新宁我知道是不是
[00:16:34 -> 00:16:37] 那个那个师姐是人民日报的我记得
[00:16:37 -> 00:16:42] 她的那个毕业致辞就是她是系友致辞嘛那时候中文系的系委就
[00:16:42 -> 00:17:13] 她说我怕你们不再相信我记得很清楚嗯大概是两千年前非常有名的非常有名对吧但是那个有名了以后你发现嗯毕业致辞就没有再有名过吧后来有一次有名的是劳劳义老师的对在我们学校的毕业典礼上那个非常非常有名她的那个那个那个致辞叫做一个自己尊重的人嗯那那个这种全全篇六百多个字非常非常漂亮那你是非常认真的读过了哦非常漂亮非常漂亮然后
[00:17:13 -> 00:17:24] 再到后来呢我认为比较出名的是刘振云老师在公号管理学院或者是国家发展研究院忘了他他做的一个支持他说我们这个时代需要笨人我们需要真诚的人
[00:17:24 -> 00:17:36] 但是为什么最近几年好像这个这个毕业致辞卷成了一个新赛道了你们发现高校小说对对对他为什么卷成一个新赛道了我觉得这就是社交媒体的广泛运用
[00:17:36 -> 00:17:43] 而且呢呃他会有一个他会有一个阅读的期待对啊而且他会认为
[00:17:43 -> 00:17:59] 这是一个公众性表达了其实我至今为止仍然认为它是一个非常针对性的表达而不是一个公众性表达那么所以你把这三个东西放在一起的时候你会你会知道当然这就是相当于把自己对象化了是吧去分析他
[00:17:59 -> 00:18:13] 这个他他看起来是一个偶然他但是但是呢呃可能很多的事情呢是在呃不仅是你的语气可能是这个环境嗯他使得你这个语气看起来好像是受到了很多
[00:18:13 -> 00:18:44] 人的观众而已啊所以呢你用这么理性的方式去分析完了以后你大概就不会出现自我认知的偏差啊坦率的讲啊我个人认为呃相较于我两三年前啊我最近一段时间因为我自己的行政工作啊然后教学工作还有一些这个啊日常的事务虽然我觉得我的有我的学术水平在下降我肯定不会认为因为有更多人看到你了你是学术水平在提升而且呢
[00:18:44 -> 00:19:14] 我觉得我现在非常担心的事情是我觉得我的学术共同体里面大部分我非常尊重的学者可能都在认为我不务正业这个这个对我来说是很很大的风险而且这个风险本身是我觉得我需要去应对的啊呃因为现在几乎所有的好朋友或者是师长见到你说哎呀你现在很红啊这个话呢嗯我是很难把它当表扬听的就是你你把它当表扬听的时候你会觉得你这是你自己的问题吧
[00:19:14 -> 00:19:16] 嗯对吧我不会把它当表扬听的
[00:19:16 -> 00:19:20] 但大家说这话也很复杂肯定有特别替你高兴的部分
[00:19:20 -> 00:19:44] 绝大部分是相对相对很高兴或者说他觉得他觉得哲学界可能需要这样的人但是可能不是需要一个人嗯可能需要好多人你比如说哈我们哲学界的我认为真正是带着很强的学术感呃有一定的公公众影响力的我觉得比如说赵天阳老师嗯呃然后呢比如说陈家印老师对
[00:19:44 -> 00:20:01] 啊杨丽华老师嗯啊这个他们是带着非常强的学术感的反而我这个好像是那个心灵鸡汤款的这个就让我很很这就让我很不适应你作为一个认真的学者就是被人当做读者文章来用你是不是你是什么心情
[00:20:01 -> 00:20:14] 嗯我有我有两个感受非常明显第一个感受呢就是我非常首先我不喜欢读者文章那套嗯我说的不喜欢那套什么意思哈就是说其实受过严格哲学训练的人对论证
[00:20:14 -> 00:20:44] 是有一种强迫证实的需求的我知道所以你给我一个结论的时候没有在没有在之前的论证我会很成问题但是现在但是你知道一个一个字词那样的写作不能超过三千三千字所以呢你没有办法展开有效的论证所以呢我很担心的问题就是呃他最终被当做一个所谓的呃结论去表述的时候他没有论证基础这个我我我非常不喜欢啊这第一个第二个呢实际上呃任何
[00:20:44 -> 00:21:14] 和当做经济使用的实际上背后都缺省了一个东西缺省了一个视角嗯就你从什么视角上对这句话是有用的啊那么我又没有办法去再叙述这个视角就你还是论证那一套对对所以呢所以呢我自己会特别担心出现误解嗯然后呢特别担心因此会让人觉得我其实没有啊很好的落实哲学的学术训练嗯呃哲学的学术训练是不允许你随时随时的就拿出一句话来
[00:21:14 -> 00:21:44] 比如说哲学是不能够这样去说话的比如说呃哲学是什么什么什么什么啊我们今天如何如何如何如何这种话呢实际上是在我们看来是很武断啊呃所以呢我们会我们会比如说我自己的那个很多学术学术论文我最后的话一般都是说我只是尝试提出一个问题他只是在某一个视角下他可能指向了我们以我们忽略掉的某一个方向这个方向本身也并不
